Exoplanet,TIC ID,Products,Period,Epochs,RA,DEC,Distance
TOI-1266 b,467179528,4,10.894843,9,197.9965833,65.8336973,36.0118
TOI-1266 c,467179528,4,18.80151,5,197.9965833,65.8336973,36.0118
TOI-1338 b,260128333,15,95.174,4,92.1330955,-59.5409853,399.017
TOI-1728 b,285048486,1,3.49151,7,120.6116787,64.7971531,60.798
TOI-1899 b,172370679,2,29.02,2,299.4268472,40.1433462,128.438
TrES-1 b,120757718,1,3.03007,8,286.0408755,36.632536,159.658
TrES-2 b,399860444,1,2.47063,9,286.8085258,49.3164211,215.32
TrES-3 b,116264089,2,1.30618581,34,268.0291106,37.5463268,231.337
TrES-4 b,159742538,2,3.55395,13,268.3043361,37.2117397,515.98
WASP-3 b,27848472,1,1.84683,12,278.6317411,35.6614312,231.161
WASP-4 b,402026209,3,1.33823147,50,353.5629149,-42.0617794,267.206
WASP-5 b,184240683,2,1.6284279,27,359.3490277,-41.2772202,309.137
WASP-6 b,204376737,2,3.36101,14,348.1571282,-22.6741248,197.119
WASP-7 b,389352124,1,4.9546416,5,311.0427558,-39.2254856,162.303
WASP-8 b,183532609,2,8.15872,6,359.9008737,-35.0313349,89.9606
WASP-12 b,86396382,1,1.09142,21,97.636645,29.6722662,427.246
WASP-13 b,8767448,1,4.35301,6,140.1029654,33.8823291,227.537
WASP-15 b,111991770,1,3.7521,6,208.9280111,-32.1597118,282.091
WASP-16 b,46096489,1,3.1186,8,214.6830109,-20.2754374,194.134
WASP-17 b,66818296,1,3.73543,6,239.9622479,-28.0617941,405.908
WASP-18 b,100100827,4,0.94124,94,24.3544618,-45.6777937,123.483
WASP-19 b,35516889,1,0.78883899,28,148.4167672,-45.6591078,268.325
WASP-20 b,211438925,2,4.8996284,9,5.1605621,-23.9357894,211.877
WASP-22 b,257567854,1,3.53269,7,52.8180374,-23.8197924,317.652
WASP-23 b,170102285,1,2.9444256,8,101.1275033,-42.7622296,207.49
WASP-25 b,229047362,1,3.76483,6,195.3597581,-27.5222273,211.416
WASP-26 b,32487566,1,2.7566,8,4.6030424,-15.2674044,252.759
WASP-29 b,183537452,2,3.92273,12,357.8791976,-39.9071215,87.5953
WASP-31 b,437248515,1,3.4059096,7,169.4388603,-19.0547781,383.829
WASP-33 b,129979528,1,1.21987,18,36.7127375,37.5504441,121.944
WASP-34 b,437242640,1,4.31768,6,165.3993679,-23.8609457,132.096
WASP-35 b,43647325,2,3.16158,14,76.0818912,-6.2297801,202.218
WASP-36 b,13349647,1,1.53736596,15,131.5803897,-8.0269855,386.346
WASP-41 b,398943781,1,3.0524,8,190.6188034,-30.6398176,163.371
WASP-42 b,248075138,1,4.9816819,5,192.981203,-42.0736165,177.291
WASP-43 b,36734222,1,0.813475,27,154.9081869,-9.8064431,86.7467
WASP-44 b,12862099,1,2.423804,10,3.9032733,-11.9382645,364.512
WASP-45 b,120610833,2,3.126089,15,5.2377567,-35.998465,211.196
WASP-46 b,231663901,2,1.43036763,31,318.7370122,-55.8718634,375.31
WASP-48 b,284475976,2,2.14363,21,291.1623865,55.4730273,454.144
WASP-49 b,306362738,2,2.78174,16,91.0897193,-16.9653901,194.553
WASP-50 b,382391899,2,1.9551,23,43.6880738,-10.8980242,184.848
WASP-53 b,268766053,2,3.3098443,14,31.9091639,-20.661843,201.338
WASP-54 b,61098812,1,3.69364,6,205.4542456,-0.1281712,251.303
WASP-55 b,294301883,1,4.46563,5,203.7581951,-17.5034961,297.462
WASP-56 b,347329162,1,4.6171,5,183.3660401,23.055687,321.084
WASP-58 b,424435940,2,5.01718,9,274.7012534,45.1722194,290.404
WASP-61 b,13021029,2,3.8559,12,75.2996637,-26.0541438,488.66
WASP-62 b,149603524,19,4.41195,95,87.1398205,-63.9883286,175.631
WASP-63 b,393414358,4,4.37808,21,94.3363562,-38.3233826,290.684
WASP-64 b,52640302,3,1.5732918,42,101.1149223,-32.8583878,369.926
WASP-66 b,53735810,1,4.08605,6,158.2250301,-34.9899074,500.258
WASP-71 b,422655579,1,2.90367,8,29.2634506,0.7588247,362.715
WASP-72 b,122612091,4,2.21673,40,41.0400779,-30.1690785,434.754
WASP-73 b,231670397,2,4.08722,11,319.9496969,-58.1489328,316.678
WASP-76 b,293435336,1,1.809886,13,26.632936,2.700389,194.459
WASP-77 A b,1129033,2,1.36003,33,37.1555223,-7.0606675,105.166
WASP-78 b,139528693,3,2.17518,31,63.7562662,-22.1163901,754.258
WASP-79 b,170634116,4,3.66238,24,66.3709016,-30.6004362,246.69
WASP-82 b,452808876,1,2.70579,9,72.6605916,1.8938365,275.664
WASP-83 b,286865921,1,4.971252,5,190.1519558,-19.2843527,271.103
WASP-87 b,15445551,2,1.682795,27,185.3246821,-52.8408163,298.392
WASP-88 b,100566492,1,4.954,5,309.5112337,-48.4620833,523.756
WASP-91 b,238176110,3,2.798581,24,357.846434,-70.1528621,149.942
WASP-92 b,162689341,3,2.1746742,31,246.6920395,51.0411328,575.889
WASP-93 b,240681314,1,2.7325321,9,9.4587443,51.288778,370.284
WASP-94 A b,92352620,2,3.95019,12,313.7832393,-34.1357512,211.211
WASP-95 b,144065872,2,2.18467,21,337.4578243,-48.0030988,137.544
WASP-96 b,160148385,2,3.4252602,13,1.0465696,-47.3606352,352.464
WASP-97 b,230982885,2,2.07276,22,24.6051389,-55.7720006,151.068
WASP-98 b,166833457,2,2.96264036,15,58.4290113,-34.3282716,281.742
WASP-99 b,166836920,3,5.75251,12,39.8976689,-50.0081934,158.66
WASP-100 b,38846515,20,2.84938,154,68.9598159,-64.027039,364.411
WASP-101 b,47911178,2,3.58572,13,98.3511016,-23.486086,201.224
WASP-105 b,158623531,3,7.87288,9,24.1678686,-50.659308,169.272
WASP-106 b,53189332,1,9.28971,3,166.4296276,-5.0794854,352.181
WASP-113 b,310003988,2,4.54216875,10,224.8728589,46.9600996,435.156
WASP-117 b,166739520,4,10.02165,9,36.7758112,-50.2844247,157.963
WASP-119 b,388104525,11,2.49979,97,55.9336392,-65.19378,302.448
WASP-120 b,152476657,4,3.6112706,25,62.6160813,-45.8982434,381.174
WASP-121 b,22529346,2,1.2749255,35,107.6002312,-39.0972705,269.898
WASP-123 b,31858843,2,2.9776412,15,289.4792124,-32.8601244,197.996
WASP-124 b,97409519,1,3.37265,7,332.7143373,-30.7497189,448.637
WASP-126 b,25155310,20,3.28883,134,63.374706,-69.2265926,216.526
WASP-127 b,169226822,1,4.17806203,6,160.5587646,-3.8349989,159.507
WASP-129 b,61538902,1,5.748145,4,176.2990518,-42.0639575,301.462
WASP-130 b,243200602,1,11.55098,2,203.1060194,-42.4752733,172.256
WASP-131 b,271168962,1,5.322023,5,210.1935714,-30.5836084,200.075
WASP-132 b,127530399,1,7.133521,4,217.6091998,-46.159516,122.91
WASP-135 b,308172249,1,1.4013794,16,267.2848846,29.8790428,298.214
WASP-136 b,176220787,1,5.215357,5,0.325761,-8.9262512,275.587
WASP-138 b,35857242,2,3.634433,13,41.6391598,-0.4641252,414.234
WASP-139 b,159951311,4,5.924262,15,49.562173,-41.3020235,212.472
WASP-140 b,178284730,3,2.2359835,30,60.3855387,-20.4509991,117.598
WASP-141 b,117979897,2,3.310651,14,71.8244347,-17.1151736,516.543
WASP-142 b,423275733,1,2.052868,11,140.5063164,-23.946102,730.933
WASP-144 b,207077681,1,2.2783152,10,320.7628761,-40.0484393,355.513
WASP-145 A b,381856447,1,1.7690381,13,322.2537644,-58.8361466,91.299
WASP-147 b,114749636,1,4.60273,5,359.1915117,-22.1532316,436.098
WASP-150 b,321668398,3,5.644207,12,264.2630197,53.0212751,527.995
WASP-153 b,157586003,1,3.332609,7,279.2624729,40.0186905,610.176
WASP-156 b,270380593,2,3.836169,12,32.782085,2.4181937,122.066
WASP-159 b,77156657,2,3.840401,12,68.1364792,-38.9682973,715.383
WASP-160 B b,32949762,2,3.7684952,12,87.679561,-27.6233218,288.326
WASP-164 b,237320326,1,1.7771255,13,344.8735878,-60.4478194,327.506
WASP-165 b,228381868,1,3.465509,7,357.5806472,-17.0775947,602.236
WASP-166 b,408310006,1,5.44354,5,144.8751047,-20.9824191,114.173
WASP-167 b,104024556,1,2.0219596,11,196.0437932,-35.5495292,423.552
WASP-168 b,232038798,2,4.153658,11,96.7446427,-46.8213635,303.941
WASP-173 A b,77031414,2,1.38665318,32,354.1686959,-34.6113042,232.98
WASP-182 b,369455629,1,3.3769848,7,311.673345,-41.8209828,327.602
WASP-190 b,116156517,1,5.367753,5,7.7095292,-40.5734613,542.251
WD 1856+534 b,267574918,5,1.4079405,78,284.415675,53.5090244,24.7359
XO-1 b,236312126,1,3.94153,6,240.5492745,28.1696248,163.553
XO-2 N b,356473034,1,2.61586178,9,117.0267691,50.2251472,154.273
XO-3 b,8400842,1,3.19154,7,65.4695814,57.8172095,213.053
XO-4 b,51234631,1,4.12508,6,110.3880285,58.2681094,272.655
XO-6 b,138168780,3,3.7650007,18,94.7929552,73.8275672,235.479
XO-7 b,268403451,2,2.8641424,16,277.4780753,85.2333208,234.149
pi Men c,261136679,9,6.2679,32,84.2992798,-80.4646041,18.2702
