Exoplanet,TIC ID,Products,Period,Epochs,RA,DEC,Distance
HATS-43 b,78055054,3,4.3888497,15,80.5382418,-30.9708179,362.273
HATS-44 b,32499655,4,2.7439004,32,84.3267559,-27.9725758,446.035
HATS-45 b,4616072,3,4.1876244,16,101.9942455,-21.9107112,772.11
HATS-46 b,281541555,4,4.7423729,19,6.7026401,-56.3161021,453.808
HATS-47 b,158297421,2,3.9228038,12,287.4844021,-49.6649424,300.67
HATS-48 A b,201642601,2,3.1316666,14,288.6720048,-59.5793505,263.609
HATS-51 b,53458803,1,3.3488702,7,102.8474248,-29.0586551,389.57
HATS-57 b,178289267,1,2.350621,10,60.9482779,-19.0568182,279.485
HATS-60 b,145750719,1,3.560829,7,341.3640336,-14.9917747,486.474
HATS-61 b,44745133,1,7.817953,3,61.6578005,-25.3496674,679.761
HATS-63 b,178879588,2,3.0566527,15,67.418582,-28.1972149,623.232
HATS-66 b,52689469,1,3.1414391,7,101.3948048,-33.8816918,1477.98
HATS-68 b,322307342,2,3.5862202,13,15.006077,-58.9047242,603.955
HATS-69 b,467971286,1,2.2252577,10,289.2974275,-60.8917599,414.537
HATS-70 b,98545929,1,1.8882378,12,109.1045212,-31.2443947,1458.83
HATS-71 b,234523599,4,3.7955202,24,15.5518893,-61.7561333,140.225
HD 1397 b,394137592,1,11.53533,2,4.4471631,-66.3589285,79.5702
HD 2685 b,267263253,3,4.12688,16,7.3289156,-76.304032,196.852
HD 15337 b,120896927,3,4.75615,14,36.8678846,-27.6361171,44.8155
HD 15337 c,120896927,3,17.1784,4,36.8678846,-27.6361171,44.8155
HD 17156 b,302773669,3,21.21663,4,42.4366123,71.7530882,78.0863
HD 21749 c,279741379,7,7.78993,20,51.7501882,-63.500166,16.32
HD 63433 b,130181866,1,7.10793,4,117.4793699,27.3631342,22.4035
HD 63433 c,130181866,1,20.5453,2,117.4793699,27.3631342,22.4035
HD 80606 b,457134360,1,111.4367,1,140.6569501,50.6037764,66.4711
HD 86226 c,22221375,1,3.98442,6,149.1235154,-24.0991859,45.683
HD 95338 b,304142124,1,55.087,1,164.8563364,-56.6235564,36.9941
HD 97658 b,82308728,1,9.4909,3,168.6376584,25.7105962,21.5618
HD 108236 b,260647166,2,3.795963,12,186.5740627,-51.3630519,64.5978
HD 108236 c,260647166,2,6.203449,8,186.5740627,-51.3630519,64.5978
HD 108236 d,260647166,2,14.175685,4,186.5740627,-51.3630519,64.5978
HD 108236 e,260647166,2,19.590025,3,186.5740627,-51.3630519,64.5978
HD 108236 f,260647166,2,29.54115,2,186.5740627,-51.3630519,64.5978
HD 136352 b,136916387,1,11.57779,2,230.4401147,-48.3188174,14.682
HD 136352 c,136916387,1,27.5909,1,230.4401147,-48.3188174,14.682
HD 149026 b,255930614,2,2.87589,16,247.6229827,38.3475349,75.8643
HD 191939 b,269701147,9,8.880403,23,302.0256247,66.8503014,53.6089
HD 191939 c,269701147,9,28.58059,7,302.0256247,66.8503014,53.6089
HD 191939 d,269701147,9,38.3561,6,302.0256247,66.8503014,53.6089
HD 202772 A b,290131778,2,3.308958,14,319.6995877,-26.6163743,161.498
HD 213885 b,403224672,3,1.008035,66,338.9837166,-59.864829,48.0883
HD 219134 b,283722336,2,3.092926,15,348.3372026,57.1696255,6.53127
HD 219134 c,283722336,2,6.76458,7,348.3372026,57.1696255,6.53127
HD 219666 b,266980320,2,6.03607,8,349.5592665,-56.9039857,94.1719
HD 221416 b,441462736,2,14.2767,4,353.0331863,-21.8012007,95.5483
HD 332231 b,199376584,2,18.71204,3,306.741134,33.7443882,80.6665
HIP 65 A b,201248411,4,0.9809734,90,0.1856063,-54.8308228,61.7856
HR 858 b,178155732,3,3.58599,19,42.9849779,-30.8140609,31.964
HR 858 c,178155732,3,5.97293,12,42.9849779,-30.8140609,31.964
HR 858 d,178155732,3,11.23,6,42.9849779,-30.8140609,31.964
K2-77 b,435339847,1,8.199796,3,55.228521,12.572448,141.731
K2-80 b,242961495,2,19.0918,3,59.037486,13.5590288,200.802
K2-80 c,242961495,2,5.605,8,59.037486,13.5590288,200.802
K2-97 b,366568760,1,8.406726,3,127.762837,10.8475571,878.43
K2-98 b,366410512,1,10.136448,3,126.4882114,11.5110933,518.625
K2-114 b,366576758,1,11.391013,2,127.882912,11.922255,475.758
K2-115 b,7020254,1,20.272615,2,126.5535002,12.281851,413.591
K2-181 b,366528389,1,6.894256,4,127.5541103,10.9101444,360.911
K2-237 b,16288184,1,2.1805577,11,253.7688479,-28.7105836,314.995
K2-260 b,293612446,1,2.6266657,9,76.8673317,16.8676948,663.834
K2-261 b,281731203,1,11.63344,2,163.0323119,0.493167,213.283
K2-265 b,146364192,1,2.369172,10,342.0316493,-14.4947789,138.671
K2-277 b,404421005,1,6.326763,4,202.0161895,-15.9379749,113.123
K2-321 b,277833995,1,2.298,10,156.4054989,2.5138829,77.6888
KELT-1 b,432549364,1,1.217514,19,0.3620995,39.3837953,268.43
KELT-3 b,67666096,1,2.70339,9,148.6431193,40.3879446,210.252
KELT-6 b,165987272,1,7.8457,3,195.9818362,30.640145,240.726
KELT-7 b,367366318,1,2.73477,9,78.2955912,33.3179532,136.681
KELT-8 b,358516596,1,3.24406,7,283.3054489,24.1272483,197.572
