pl_name
55 Cnc e
BD+20 594 b
K2-266 e
K2-268 c
K2-269 b
K2-27 b
K2-273 b
K2-274 b
K2-275 b
K2-277 b
K2-28 b
K2-280 b
K2-284 b
K2-285 b
K2-285 c
K2-285 d
K2-285 e
K2-286 b
K2-287 b
K2-288 B b
K2-289 b
K2-29 b
K2-290 b
K2-290 c
K2-291 b
K2-292 b
K2-295 b
K2-3 b
K2-3 c
K2-3 d
K2-30 b
K2-31 b
K2-32 b
K2-32 c
K2-32 d
K2-34 b
K2-35 b
K2-35 c
K2-36 b
K2-36 c
K2-37 b
K2-37 c
K2-37 d
K2-38 b
K2-38 c
K2-39 b
K2-4 b
K2-44 b
K2-46 b
K2-5 b
K2-5 c
K2-52 b
K2-53 b
K2-58 b
K2-58 c
K2-58 d
K2-6 b
K2-60 b
K2-61 b
K2-62 b
K2-62 c
K2-65 b
K2-66 b
K2-68 b
K2-70 b
K2-73 b
K2-74 b
K2-75 b
K2-75 c
K2-77 b
K2-79 b
K2-8 b
K2-8 c
K2-80 b
K2-80 c
K2-85 b
K2-86 b
K2-87 b
K2-9 b
K2-90 b
K2-90 c
K2-95 b
K2-97 b
K2-98 b
K2-99 b
KELT-1 b
KELT-10 b
KELT-11 b
KELT-12 b
KELT-14 b
KELT-15 b
KELT-16 b
KELT-17 b
KELT-18 b
KELT-19 A b
KELT-2 A b
KELT-20 b
KELT-21 b
KELT-23 A b
KELT-24 b
KELT-3 b
KELT-4 A b
KELT-6 b
KELT-7 b
KELT-8 b
KELT-9 b
KOI-12 b
KOI-1257 b
KOI-13 b
KOI-217 b
KOI-351 b
KOI-351 c
KOI-351 d
KOI-351 e
KOI-351 f
KOI-351 g
KOI-351 h
KOI-3680 b
KOI-94 b
KOI-94 c
KOI-94 d
KOI-94 e
KPS-1 b
Kepler-10 b
Kepler-10 c
Kepler-101 b
Kepler-101 c
Kepler-105 b
Kepler-107 b
Kepler-107 c
Kepler-107 d
Kepler-107 e
Kepler-11 b
Kepler-11 c
Kepler-11 d
Kepler-11 e
Kepler-11 f
Kepler-11 g
Kepler-117 b
Kepler-117 c
Kepler-12 b
Kepler-1229 b
Kepler-130 c
Kepler-138 b
Kepler-138 c
Kepler-138 d
Kepler-14 b
Kepler-1410 b
Kepler-1455 b
Kepler-15 b
Kepler-1512 b
Kepler-1544 b
Kepler-155 b
Kepler-155 c
Kepler-1593 b
Kepler-1606 b
Kepler-1638 b
Kepler-1647 b
Kepler-1649 b
Kepler-1652 b
Kepler-1653 b
Kepler-1654 b
Kepler-1655 b
Kepler-1656 b
Kepler-1658 b
Kepler-1661 b
Kepler-167 b
Kepler-167 c
Kepler-167 d
Kepler-167 e
Kepler-17 b
Kepler-18 b
Kepler-18 c
Kepler-18 d
Kepler-186 f
Kepler-20 b
Kepler-20 c
Kepler-20 d
Kepler-20 e
Kepler-20 f
Kepler-21 b
Kepler-210 b
Kepler-210 c
Kepler-22 b
Kepler-235 b
Kepler-235 c
Kepler-235 d
Kepler-235 e
Kepler-289 b
Kepler-289 c
Kepler-289 d
Kepler-296 e
Kepler-296 f
Kepler-33 b
Kepler-33 c
Kepler-33 d
Kepler-33 e
Kepler-33 f
Kepler-36 b
Kepler-36 c
Kepler-37 b
Kepler-37 c
Kepler-37 d
Kepler-38 b
Kepler-39 b
Kepler-395 b
Kepler-395 c
Kepler-4 b
Kepler-40 b
Kepler-41 b
Kepler-410 A b
Kepler-411 b
Kepler-411 c
Kepler-411 d
Kepler-412 b
Kepler-419 b
Kepler-421 b
Kepler-422 b
Kepler-423 b
Kepler-424 b
Kepler-425 b
Kepler-426 b
Kepler-427 b
Kepler-428 b
Kepler-43 b
Kepler-432 b
Kepler-433 b
Kepler-434 b
Kepler-435 b
Kepler-436 b
Kepler-437 b
Kepler-438 b
Kepler-439 b
Kepler-44 b
Kepler-440 b
Kepler-441 b
Kepler-442 b
Kepler-443 b
Kepler-444 b
Kepler-444 c
Kepler-444 d
Kepler-444 e
Kepler-444 f
Kepler-447 b
Kepler-45 b
Kepler-452 b
Kepler-454 b
Kepler-46 b
Kepler-47 b
Kepler-47 c
Kepler-5 b
Kepler-538 b
Kepler-539 b
Kepler-560 b
Kepler-6 b
Kepler-62 b
Kepler-62 c
Kepler-62 d
Kepler-62 e
Kepler-62 f
Kepler-63 b
Kepler-65 b
Kepler-65 c
Kepler-65 d
Kepler-68 b
Kepler-68 c
Kepler-69 b
Kepler-69 c
Kepler-7 b
Kepler-705 b
Kepler-730 b
Kepler-730 c
Kepler-74 b
Kepler-75 b
Kepler-76 b
Kepler-77 b
Kepler-79 b
Kepler-79 c
Kepler-79 d
Kepler-79 e
Kepler-8 b
Kepler-80 b
Kepler-80 c
Kepler-80 d
Kepler-80 e
Kepler-80 f
Kepler-82 b
Kepler-82 c
Kepler-87 b
Kepler-87 c
Kepler-9 b
Kepler-9 c
Kepler-91 b
Kepler-93 b
L 168-9 b
L 98-59 b
L 98-59 c
L 98-59 d
LHS 1140 b
LHS 1140 c
LHS 1815 b
LP 714-47 b
LP 791-18 b
LP 791-18 c
LTT 1445 A b
LTT 3780 b
LTT 3780 c
LTT 9779 b
NGTS-11 b
NGTS-12 b
NGTS-2 b
NGTS-3 A b
NGTS-4 b
NGTS-5 b
NGTS-6 b
NGTS-8 b
NGTS-9 b
OGLE-TR-10 b
OGLE-TR-111 b
OGLE-TR-113 b
OGLE-TR-132 b
OGLE-TR-182 b
OGLE-TR-211 b
OGLE2-TR-L9 b
PH1 b
PH2 b
POTS-1 b
Qatar-1 b
Qatar-10 b
Qatar-2 b
Qatar-3 b
Qatar-4 b
Qatar-5 b
Qatar-6 b
Qatar-7 b
Qatar-8 b
Qatar-9 b
TOI-1235 b
TOI-125 b
TOI-125 c
TOI-125 d
TOI-1266 b
TOI-1266 c
TOI-132 b
TOI-1338 b
TOI-150.01
TOI-157 b
TOI-163 b
TOI-169 b
TOI-172 b
TOI-1728 b
TOI-1899 b
TOI-216.01
TOI-216.02
TOI-251 b
TOI-270 b
TOI-270 c
TOI-270 d
TOI-421 b
TOI-421 c
TOI-481 b
TOI-677 b
TOI-700 b
TOI-700 c
TOI-700 d
TOI-813 b
TOI-824 b
TOI-849 b
TOI-892 b
TOI-942 b
TOI-942 c
TOI-954 b
TRAPPIST-1 b
TRAPPIST-1 c
TRAPPIST-1 d
TRAPPIST-1 e
TRAPPIST-1 f
TRAPPIST-1 g
TRAPPIST-1 h
TrES-1 b
TrES-2 b
TrES-3 b
TrES-4 b
TrES-5 b
WASP-1 b
WASP-10 b
WASP-100 b
WASP-101 b
WASP-103 b
WASP-104 b
WASP-105 b
WASP-106 b
WASP-107 b
WASP-11 b
WASP-113 b
WASP-114 b
WASP-117 b
WASP-118 b
WASP-119 b
WASP-12 b
WASP-120 b
WASP-121 b
WASP-123 b
WASP-124 b
WASP-126 b
