Exoplanet,Products,Period,Epochs
KPS-1 b,1,1.706291,13
Kepler-9 b,1,19.25066237,2
Kepler-9 c,1,38.94828507846154,1
Kepler-9 d,1,1.59290685625,14
Kepler-10 b,1,0.837491010625,27
Kepler-10 c,1,45.294304122499994,1
Kepler-11 b,2,10.303956252,5
Kepler-11 c,2,13.0249419225,4
Kepler-11 d,2,22.687124916923075,2
Kepler-11 e,2,31.995481713333334,2
Kepler-11 f,2,46.686846287647064,1
Kepler-11 g,2,118.37890924933332,1
Kepler-14 b,3,6.790121917692305,10
Kepler-18 b,2,3.5047102607692313,13
Kepler-18 c,2,7.641576174166666,6
Kepler-18 d,2,14.858903877499998,3
Kepler-21 b,1,2.7858006900000003,8
Kepler-25 b,1,6.238535354545456,4
Kepler-25 c,1,12.720371334615383,2
Kepler-30 b,2,29.266431006363636,2
Kepler-30 c,2,60.324443903076926,1
Kepler-30 d,2,143.20821473444443,1
Kepler-34 b,2,288.822,1
Kepler-35 b,2,131.458,1
Kepler-36 b,2,13.846728572857142,4
Kepler-36 c,2,16.233797356428575,3
Kepler-37 b,1,13.367208637272729,2
Kepler-37 c,1,21.301931657333338,2
Kepler-37 d,1,39.792218006249996,1
Kepler-38 b,1,105.597,1
Kepler-42 b,2,1.21376969,37
Kepler-42 c,2,0.45328675899999993,97
Kepler-42 d,2,1.865114105,24
Kepler-47 b,2,49.503433333333334,1
Kepler-47 c,2,303.17400000000004,1
Kepler-50 b,1,7.812700887692309,3
Kepler-50 c,1,9.376459489999998,3
Kepler-51 b,2,45.15534830461539,1
Kepler-51 c,2,85.314654944,1
Kepler-51 d,2,130.17879933,1
Kepler-63 b,1,9.434150745555556,3
Kepler-65 b,1,2.1549109342857142,11
Kepler-65 c,1,5.85993972,4
Kepler-65 d,1,8.1312231875,3
Kepler-68 b,2,5.398756178749999,9
Kepler-68 c,2,9.605058353076924,5
Kepler-78 b,2,0.35500744,124
Kepler-79 b,2,13.484569779166668,4
Kepler-79 c,2,27.40221051076923,2
Kepler-79 d,2,52.090792990000004,1
Kepler-79 e,2,81.06426191,1
Kepler-83 b,2,9.77046124181818,5
Kepler-83 c,2,20.090090964374998,3
Kepler-83 d,2,5.16980560357143,9
Kepler-91 b,2,6.246627085294118,8
Kepler-93 b,1,4.726739780666667,5
Kepler-96 b,2,16.23847727727272,3
Kepler-102 b,2,5.286958077777778,9
Kepler-102 c,2,7.071384465,7
Kepler-102 d,2,10.311729343846155,5
Kepler-102 e,2,16.14568986692308,3
Kepler-102 f,2,27.453646574999997,2
Kepler-122 b,1,5.7661742091666675,4
Kepler-122 c,1,12.465995228181816,2
Kepler-122 d,1,21.587577831666668,2
Kepler-122 e,1,37.995361845714285,1
Kepler-122 f,1,56.26133448545455,1
Kepler-138 b,1,10.312834068666668,3
Kepler-138 c,1,13.781080492500001,2
Kepler-138 d,1,23.08910313,1
Kepler-199 b,1,23.640213390833335,1
Kepler-199 c,1,67.09336988272726,1
Kepler-289 b,2,34.543896974000006,2
Kepler-289 c,2,125.86536275222223,1
Kepler-289 d,2,85.99286666666667,1
Kepler-297 b,2,38.869690323076924,2
Kepler-297 c,2,74.92456821692306,1
Kepler-314 b,1,2.461068144,9
Kepler-314 c,1,5.960398172307691,4
Kepler-338 b,1,13.727031682000002,2
Kepler-338 c,1,24.31102008083333,1
Kepler-338 d,1,44.43058561833334,1
Kepler-338 e,1,9.341467917999998,3
Kepler-381 b,2,5.629027370909092,8
Kepler-381 c,2,13.391541385384617,4
Kepler-396 b,2,42.99254153571429,2
Kepler-396 c,2,88.51015328363637,1
Kepler-407 b,1,0.6693098900000002,33
Kepler-408 b,2,2.465024922222222,18
Kepler-409 b,2,68.95847705545454,1
Kepler-410 A b,2,17.833663788333336,3
Kepler-411 b,2,3.005156144,15
Kepler-411 c,2,7.834430505,6
Kepler-411 d,2,58.01989152,1
Kepler-412 b,2,1.7208612804615386,26
Kepler-431 b,1,6.802711525454544,4
Kepler-431 c,1,8.703174985454545,3
Kepler-431 d,1,11.921756600000002,2
Kepler-444 b,1,3.6001101637499997,7
Kepler-444 c,1,4.545877544,5
Kepler-444 d,1,6.189396717499999,4
Kepler-444 e,1,7.743484296,3
Kepler-444 f,1,9.740484986666667,3
Kepler-462 b,2,84.68790337125,1
Kepler-462 c,2,207.592061542,1
Kepler-508 b,2,25.308905067999994,2
Kepler-519 b,1,24.3078946,1
Kepler-538 b,2,81.73779686875,1
Kepler-1084 b,2,2.053337923333333,22
Kepler-1244 b,2,3.70428359,12
Kepler-1274 b,1,6.9815270300000005,4
Kepler-1394 b,1,3.937664647777778,6
Kepler-1517 b,1,5.546083670000001,4
Kepler-1647 b,2,1107.5923,1
Kepler-1651 b,2,9.88229961,5
Kepler-1661 b,2,175.06,1
L 98-59 b,9,2.253135,88
L 98-59 c,9,3.6905022,54
L 98-59 d,9,7.4510728,27
L 168-9 b,2,1.4014999999999997,32
LHS 1140 b,2,24.7370395,2
LHS 1140 c,2,3.7779309999999997,12
LHS 1815 b,17,3.81433,98
LHS 3844 b,3,0.4629287266666667,143
LP 714-47 b,1,4.052037,6
LP 791-18 b,1,0.9480049999999999,24
LP 791-18 c,1,4.9899629999999995,5
LTT 1445 A b,2,5.358759666666667,9
LTT 3780 b,1,0.7684255249999999,29
LTT 3780 c,1,12.251949333333334,2
LTT 9779 b,2,0.7920520000000001,56
Lupus-TR-3 b,1,3.91405,6
NGTS-1 b,2,2.647298,17
NGTS-6 b,1,0.8820586666666667,25
NGTS-11 b,1,35.455315000000006,1
OGLE2-TR-L9 b,2,2.4855335,18
OGLE-TR-111 b,2,4.014462827272728,11
OGLE-TR-132 b,2,1.6898673275000002,26
OGLE-TR-182 b,2,3.9790999999999994,12
OGLE-TR-211 b,2,3.67724,12
POTS-1 b,1,3.1606296,7
Qatar-1 b,4,1.420024978,62
Qatar-5 b,1,2.8792319,8
Qatar-10 b,3,1.6453209999999998,40
TOI-122 b,3,5.07803,13
TOI-125 b,3,4.65382,15
TOI-125 c,3,9.15061,8
TOI-125 d,3,19.98,4
TOI-132 b,2,2.1097015333333333,21
TOI-150.01,10,5.857419,38
TOI-157 b,9,2.0845435,95
TOI-163 b,10,4.231306,52
TOI-169 b,3,2.2554477000000004,30
TOI-172 b,1,9.477236666666665,3
TOI-216.01,17,34.554985,11
TOI-216.02,17,17.0793615,22
TOI-237 b,2,5.436098,9
TOI-251 b,2,4.93777,9
TOI-270 b,4,3.3600800000000004,27
TOI-270 c,4,5.660172,16
TOI-270 d,4,11.380139999999999,8
TOI-421 b,2,8.82053,5
TOI-421 c,2,16.068432666666666,3
TOI-451 b,3,1.8587016666666667,36
TOI-451 c,3,9.192522666666667,8
TOI-451 d,3,16.36498333333333,5
TOI-481 b,7,10.33111,15
TOI-561 b,1,0.4465763333333333,50
TOI-561 c,1,10.778943250000001,3
TOI-561 d,1,25.62,1
TOI-561 e,1,77.23,1
TOI-564 b,1,1.6511439999999997,14
TOI-677 b,2,11.236600000000001,4
TOI-700 b,15,9.977015,33
TOI-700 c,15,16.051329000000003,21
TOI-700 d,15,37.425375,9
TOI-776 b,1,8.24662,3
TOI-776 c,1,15.6653,2
TOI-813 b,14,83.8911,4
TOI-824 b,2,1.392978,32
TOI-905 b,1,3.739494,6
TOI-954 b,1,3.6849729,6
TOI-1235 b,3,3.4447195,20
TOI-1266 b,4,10.894843,9
TOI-1266 c,4,18.80151,5
TOI-1338 b,14,83.295435,4
TOI-1728 b,1,3.49151,7
TOI-1899 b,2,29.02,2
TrES-1 b,1,3.030071906,8
TrES-2 b,1,2.4706140336363642,9
TrES-3 b,2,1.3061872836363635,34
TrES-4 b,2,3.553937147272727,13
WASP-3 b,1,1.84683576,12
WASP-4 b,3,1.3382317235,50
WASP-5 b,2,1.6284263983333334,27
WASP-6 b,2,3.3610054957142856,14
WASP-7 b,1,4.95464672,5
WASP-8 b,2,8.158717874999999,6
WASP-12 b,1,1.0914213758333335,21
WASP-13 b,1,4.353011812500001,6
WASP-15 b,1,3.75208647,6
WASP-16 b,1,3.118602457142857,8
WASP-17 b,1,3.7354362125,6
WASP-18 b,4,0.9414521233333334,94
WASP-19 b,1,0.7888396262500001,28
WASP-20 b,2,4.899628450000001,9
WASP-22 b,1,3.53271573,7
WASP-23 b,1,2.9444256,8
WASP-25 b,1,3.7648288,6
WASP-26 b,1,2.756599371428571,8
WASP-29 b,2,3.9227250285714286,12
WASP-31 b,1,3.4059052666666667,7
WASP-33 b,1,1.219869915,18
WASP-34 b,1,4.317678099999999,6
WASP-35 b,1,3.161575,7
WASP-36 b,1,1.5373653,15
WASP-41 b,1,3.0524024424999996,8
WASP-42 b,1,4.9816872000000005,5
WASP-43 b,1,0.8134753370000001,27
WASP-44 b,1,2.4238064285714285,10
WASP-45 b,2,3.1260883428571424,15
WASP-46 b,2,1.43036921,31
WASP-48 b,2,2.143634,21
WASP-49 b,1,2.7817387000000005,8
WASP-50 b,2,1.9550967857142856,23
WASP-53 b,2,3.3098443,14
WASP-54 b,1,3.6936411,6
WASP-55 b,1,4.4656323875,5
WASP-56 b,1,4.6171008,5
WASP-58 b,2,5.017180000000002,9
WASP-61 b,1,3.8558999999999997,6
WASP-62 b,17,4.411950714285714,85
WASP-63 b,2,4.378086666666667,11
WASP-64 b,2,1.5732918,28
WASP-66 b,1,4.086052,6
WASP-71 b,1,2.9036747000000003,8
WASP-72 b,4,2.2167349,40
WASP-73 b,2,4.087219999999999,11
WASP-76 b,1,1.809886,13
WASP-77 A b,2,1.3600309,33
WASP-78 b,2,2.1751764600000003,21
WASP-79 b,3,3.6623843285714286,18
WASP-82 b,1,2.7057832,9
WASP-83 b,1,4.971252,5
WASP-88 b,1,4.954,5
WASP-91 b,3,2.798581,24
WASP-92 b,3,2.1746742,31
WASP-93 b,1,2.7325321,9
WASP-94 A b,2,3.9501906999999994,12
WASP-95 b,2,2.184673,21
WASP-96 b,2,3.4252601999999994,13
WASP-97 b,2,2.07276,22
WASP-98 b,2,2.96264,15
WASP-99 b,3,5.75251,12
WASP-100 b,18,2.849375,139
WASP-101 b,1,3.5857219999999996,7
WASP-105 b,3,7.87288,9
WASP-106 b,1,9.289715,3
WASP-113 b,2,4.5421687453800015,10
WASP-117 b,4,10.02165,9
WASP-119 b,11,2.49979,97
WASP-120 b,4,3.6112706,25
WASP-121 b,1,1.2749255,18
WASP-123 b,2,2.9776411000000005,15
WASP-124 b,1,3.37265,7
WASP-126 b,18,3.288808166666667,120
WASP-127 b,1,4.178062000000001,6
WASP-129 b,1,5.748145,4
WASP-130 b,1,11.55098,2
WASP-131 b,1,5.3220230000000015,5
WASP-132 b,1,7.133521000000001,4
WASP-135 b,1,1.4013794,16
WASP-136 b,1,5.215357,5
WASP-138 b,2,3.634433,13
WASP-139 b,4,5.9242620000000015,15
WASP-140 b,3,2.2359835,30
WASP-141 b,1,3.310651,7
WASP-142 b,1,2.052868,11
WASP-144 b,1,2.2783152,10
WASP-145 A b,1,1.7690381000000002,13
WASP-147 b,1,4.60273,5
WASP-150 b,3,5.644206999999999,12
WASP-153 b,1,3.3326089999999997,7
WASP-156 b,2,3.836169,12
WASP-159 b,1,3.840401,6
WASP-164 b,1,1.7771255000000001,13
WASP-165 b,1,3.4655089999999995,7
WASP-166 b,1,5.443535333333334,5
WASP-167 b,1,2.0219593500000004,11
WASP-173 A b,2,1.3866530866666666,32
WASP-182 b,1,3.3769848000000002,7
WASP-190 b,1,5.367753,5
WD 1856+534 b,5,1.4079404999999998,78
XO-1 b,1,3.9415179909090905,6
XO-2 N b,1,2.615860976666666,9
XO-3 b,1,3.191530168888889,7
XO-4 b,1,4.1250802333333345,6
XO-6 b,3,3.7650007,18
XO-7 b,2,2.8641424,16
pi Men c,9,6.267859666666666,32
