Exoplanet,P,Perr,t0,t0err,a/r*,aerr,rp,rperr,inc,incerr,ecc,eccerr,w,werr,Date,Transits
WASP-140 b,2.2359836907195,2.20328343112939E-07,2456912.35645049,0.000184288903896,8.01743839477257,0.017442589367719,0.032437806251354,0.000331965970574,0.153090260925031,0.000173127537606,83.4597877780114,0.018854566387473,0.045787595638908,0.00048829798564,25-Jan-2021 12:05:11,30
WASP-140 b,2.23598385487527,2.22360583721338E-07,2456912.35638267,0.000180609274737,7.98117783143939,0.016995720124001,0.032291099401853,0.000330151288451,0.153098431847163,0.000185467786883,83.410728879102,0.018602101674203,0.047565148478025,0.000471209185506,22-Jan-2021 22:11:31,30
WASP-141 b,3.31066046988674,1.26899197972679E-05,2457019.60304633,0.005461254343926,7.48190100483827,0.070601341714087,0.047668239871682,0.000655405281752,0.090436480036466,0.000591577732306,88.7931155318675,0.377232324933,0,0,22-Jan-2021 13:55:26,8
WASP-141 b,3.31070306568452,1.21293908199474E-05,2457019.58386301,0.005175389512219,7.32963277154738,0.069602811259411,0.04669811761737,0.00064398654466,0.091062182004915,0.000593020923223,88.0412969001502,0.399279231126205,0,0,25-Jan-2021 01:33:40,8
WASP-142 b,2.05286210297441,6.07508639715825E-06,2457007.78933265,0.004453383594455,4.68289950875575,0.044631649369022,0.035715380197025,0.000493383930619,0.10217895159617,0.001278760455448,80.6518593774154,0.190816010399408,0,0,24-Jan-2021 22:42:01,10
WASP-142 b,2.05287766857349,5.87159724648724E-06,2457007.77900261,0.004306350271933,4.62037441293805,0.044742722094442,0.035238515902839,0.000490531953747,0.102359407022839,0.001305119304612,80.3887394216566,0.188276586258062,0,0,22-Jan-2021 11:30:53,10
WASP-150 b,5.64420882721005,1.02446784750833E-05,2457217.26458891,0.00319090743564,8.85177905888627,0.086552174525927,0.067922099379125,0.000949958328271,0.063516766535918,0.000536802022651,83.6209245217532,0.200459993844323,0.374497870629005,0.003815719232528,24-Jan-2021 18:25:52,14
WASP-150 b,5.64420686097166,9.99109165003268E-06,2457217.2653787,0.003132918375616,8.89436339874916,0.088431269864489,0.068248860558422,0.000962408660813,0.063896163284053,0.000548286197515,83.7912204628431,0.210985148364257,0.37085556556899,0.003752093913784,22-Jan-2021 07:52:35,14
WASP-156 b,3.83616360243762,1.02750727731018E-06,2454677.71851862,0.001112343698284,12.6936697024581,0.132270579159291,0.044863936483289,0.000647939272086,0.066730873316487,0.000294533889741,91.0801495845033,0.628231310277201,0.006958560048742,7.36273918491512E-05,22-Jan-2021 15:45:51,12
WASP-166 b,5.44397815393963,0.00013089595701,2458518.96922497,0.00032765577453,10.8405999858713,0.114178580468717,0.062765249877734,0.000911574193203,0.052894897817278,0.000226761234615,87.6041956256697,0.136034372353673,0,0,24-Jan-2021 11:43:49,4
WASP-166 b,5.44395048980147,0.000133637277021,2458518.96882975,0.000339773542033,11.0804076287565,0.121395717203682,0.064153695779981,0.000951621216367,0.052838809552969,0.000228587093293,87.868452141472,0.142747670597241,0,0,22-Jan-2021 02:08:22,4
WASP-18 b,0.941452674743141,2.49796771962801E-08,2458375.17343395,1.23698960461874E-05,3.51709647645239,0.007274059641923,0.02069960639756,0.000211376787372,0.097012631847463,5.04477037964943E-05,84.8857098827249,0.118408982926657,0.008429709314372,8.70828668288741E-05,26-Jan-2021 00:45:23,93
WASP-182 b,3.37696422190358,2.92915160146662E-05,2458018.67291061,0.008860484843185,7.47412052005446,0.075262675878501,0.046575924729218,0.000660984859842,0.064130732605794,0.000898066986076,84.1568635535821,0.123967799281247,0,0,24-Jan-2021 10:40:06,6
WASP-182 b,3.3770165088275,2.07746660532284E-05,2458018.65729553,0.006305614794729,7.38642121186304,0.074286162310936,0.046029415428737,0.000652816175329,0.063683130931798,0.000906417042448,83.9803279455151,0.122506522436641,0,0,22-Jan-2021 01:12:33,6
WASP-190 b,5.36775412609291,2.77662931520249E-05,2457799.13321962,0.006713548660015,8.73168170016689,0.090323872993799,0.06497023980763,0.000934773176723,0.080067807982921,0.000477810178219,86.5884862890301,0.147257353025066,0,0,24-Jan-2021 12:54:33,4
WASP-190 b,5.36778998568121,2.51797742815798E-05,2457799.12419526,0.006087082224746,8.7390234108789,0.09167041902448,0.065024867624119,0.000942379387892,0.079813948573318,0.000482882409669,86.6407247530126,0.151652025211135,0,0,22-Jan-2021 03:09:25,4
WASP-25 b,3.76483065204248,7.13128923856486E-06,2455888.67189837,0.005098998108078,11.2655060220149,0.094948094755085,0.048198677578868,0.000630343606363,0.139609239148746,0.000400404451489,88.2772602235544,0.123628610425484,0,0,24-Jan-2021 10:56:16,6
WASP-25 b,3.76484855154599,4.5081009013596E-06,2455888.65924625,0.003229746859737,11.2535464535618,0.091381341686263,0.048147509403845,0.00062022154222,0.139119807829527,0.000391602980767,88.2589603041736,0.119562060328494,0,0,22-Jan-2021 01:19:42,6
WASP-26 b,2.75660415022256,3.38914853788818E-06,2455837.59626685,0.004001057074321,6.50396918673789,0.050049224435852,0.038866747063462,0.000490423535848,0.099810664431238,0.000428395558854,82.7207589237852,0.084739191713916,0.00130102909954,1.27040185063327E-05,24-Jan-2021 13:04:50,6
WASP-26 b,2.75660508811735,3.56731127287924E-06,2455837.5952844,0.004212629393345,6.50356086449076,0.052176298388889,0.038864306990786,0.000498258242203,0.098090560404541,0.000426174950938,82.7234226219567,0.087408971112134,0.001303785760871,1.28431469701539E-05,22-Jan-2021 03:10:32,6
WASP-29 b,3.92271200528802,7.945913502535E-07,2455830.1930378,0.000591293333472,12.0302415760061,0.062645262472263,0.045316458118453,0.000510923991603,0.09629655496892,0.000186750675378,89.3640803076884,0.403363158501776,0.040014181964927,0.00041674282609,24-Jan-2021 17:25:17,11
WASP-29 b,3.92271262889488,7.79308684230865E-07,2455830.1925485,0.000570341405196,12.1071103664057,0.04529568181642,0.045606013510899,0.000486932405248,0.096167114944839,0.000159129168343,89.7885693410797,0.338604951504533,0.039536600623179,0.00039387988067,22-Jan-2021 06:57:04,11
WASP-3 b,1.84683396231357,1.0400395937815E-06,2454686.82631143,0.002443341723034,5.18898845673404,0.026020793446965,0.032939116577029,0.000368486101554,0.1055311559793,0.00016381959095,84.8773163474798,0.121842156329306,0.002541073428478,2.71714978374007E-05,25-Jan-2021 17:00:45,13
WASP-31 b,3.40590460526255,5.07934816358807E-06,2455873.85844001,0.00400172843606,8.17708065940469,0.063596783123988,0.047762220846391,0.000605071426428,0.12604971315108,0.000529307130225,84.6629482091859,0.079191709895712,0.015585624434703,0.000159209002358,22-Jan-2021 09:11:20,7
WASP-31 b,3.4058998720154,5.22124493792638E-06,2455873.86198246,0.004108982591144,8.12437470495648,0.066087895417334,0.047454366057974,0.000611720517339,0.125721680745527,0.000525725023126,84.5711570909458,0.0810197534897,0.015796186475189,0.000158210352223,24-Jan-2021 20:02:30,7
WASP-33 b,1.2198716078171,3.3975123341237E-07,2456934.77463605,0.000521341655781,3.64295527962425,0.001309501373829,0.026061588421569,0.000260784203897,0.109252383532438,3.12100599932158E-05,89.9862843315255,0.242800973524133,0,0,25-Jan-2021 04:11:16,17
WASP-33 b,1.21987439842542,4.91065996553762E-07,2456934.77045366,0.000753712724726,3.64277872003433,0.001307762306472,0.026060325319771,0.000260771134381,0.109266272768721,3.16822500457112E-05,89.9812002067607,0.238621270732765,0,0,22-Jan-2021 15:42:53,17
WASP-34 b,4.31768805206444,2.97598566542582E-06,2454647.55489219,0.002696304786725,11.3273809729396,0.050059873544316,0.048638997265624,0.000531770893808,0.115192368297402,0.000180994712095,85.6716667824849,0.023315646416469,0.028535099796522,0.000229364030795,22-Jan-2021 17:51:52,6
WASP-34 b,4.31768802447258,2.77805918530348E-06,2454647.55489463,0.002517999956389,11.313848525409,0.0471388131273,0.048580889863744,0.000526289303285,0.114897228901607,0.000196394742082,85.6563415493629,0.021829172927248,0.028666509180489,0.000213171713943,25-Jan-2021 06:57:30,6
WASP-36 b,1.53737136859801,1.20909355704974E-06,2455569.83206188,0.002326883393581,5.74609918017895,0.050972265945398,0.025719969386326,0.000343812002664,0.135078887553446,0.000604380179834,83.1164574946613,0.138302389244373,0.006268397304817,6.59612176846122E-05,25-Jan-2021 11:17:39,12
WASP-36 b,1.53736846010757,1.53070815338787E-06,2455569.83771708,0.002944695087198,5.75615318762831,0.051975406116766,0.025764971875093,0.000347141825374,0.135211521696896,0.000582381830561,83.2061220560394,0.141892700214947,0.006271725162334,6.47714718132751E-05,22-Jan-2021 21:11:44,12
WASP-41 b,3.05240643936722,4.84213467377618E-06,2456014.99481236,0.004068443324117,9.67060533660896,0.027234784719633,0.039486147823173,0.000410221417822,0.134973076519938,0.000197783137372,89.6896960738555,0.34277763387118,0.036731478412345,0.000373000160233,25-Jan-2021 19:38:59,7
WASP-50 b,1.95509320632279,2.37994051049047E-07,2455558.61704755,0.000390339969198,7.42406580447902,0.034819065338137,0.029001314972245,0.00032032520007,0.138405092496416,0.00024126298571,84.5343785704164,0.05345879978921,0.013863453533279,0.000137610550166,25-Jan-2021 00:27:04,23
WASP-76 b,1.80988828095773,1.50668897281697E-06,2456107.84850055,0.002513427837395,4.10155682321994,0.005098937229291,0.032998289404873,0.000332523018305,0.105755446962606,5.82925531867288E-05,90.0293719499669,0.436746237745395,0,0,22-Jan-2021 05:02:59,12
WASP-8 b,8.158730393804,1.98784605448261E-06,2454679.33798615,0.000989507875534,17.7768394562909,0.099701302857241,0.078537079400118,0.000900458383565,0.11889056157058,0.00017956647674,88.4424939627317,0.020638010636019,0.304792768679355,0.002919363970376,22-Jan-2021 07:01:50,5
WASP-93 b,2.73254402945218,5.09889511881802E-06,2456079.56284285,0.005040484606565,6.14859834140913,0.060471362484915,0.043462660037045,0.000609604514977,0.102938399658611,0.001053444355525,81.6518033302912,0.110895624035366,0,0,25-Jan-2021 22:16:03,6
XO-4 b,4.12507345302909,3.47170758204478E-06,2454485.93160167,0.003676559196853,7.65191043793952,0.050134335998483,0.054800836822197,0.000655155460977,0.086099834162428,0.000199960372273,88.8468353627462,0.608723279569711,0.001471499481191,1.46349144336033E-05,21-Jan-2021 04:04:41,6
