Exoplanet,TIC ID,Products,Period,Epochs
Kepler-314 b,271052158,1,2.461069,9
Kepler-338 d,258203303,1,44.431014,1
Kepler-396 b,27769688,2,42.994,2
Kepler-408 b,48450369,2,2.46502,18
Kepler-444 c,394172596,1,4.5458841,5
Kepler-444 d,394172596,1,6.189392,4
Kepler-444 f,394172596,1,9.740486,3
Kepler-462 b,269263577,2,84.6866,1
Kepler-462 c,269263577,2,207.62,1
Kepler-1244 b,123447592,2,3.70428172,12
Kepler-1394 b,164527695,1,3.93766373,6
L 98-59 d,307210830,9,7.4512,27
LHS 1140 b,92226327,2,24.736959,2
LHS 1140 c,92226327,2,3.777931,12
LHS 1815 b,260004324,17,3.81433,98
LHS 3844 b,410153553,3,0.46292913,143
LP 791-18 b,181804752,1,0.948005,24
LP 791-18 c,181804752,1,4.989963,5
LTT 1445 A b,98796344,2,5.35882,9
LTT 3780 b,36724087,1,0.768448,29
LTT 3780 c,36724087,1,12.2519,2
NGTS-1 b,192826603,2,2.647298,17
NGTS-6 b,1528696,1,0.882059,25
NGTS-11 b,54002556,1,35.45533,1
OGLE-TR-132 b,465144510,2,1.689868,26
OGLE-TR-182 b,466884459,2,3.9791,12
OGLE-TR-211 b,390001646,2,3.67724,12
POTS-1 b,341694238,1,3.1606296,7
Qatar-1 b,236887394,4,1.420033,62
Qatar-5 b,190998418,1,2.8792319,8
Qatar-10 b,229791084,3,1.645321,40
TOI-125 d,52368076,3,19.98,4
TOI-132 b,89020549,2,2.1097019,21
TOI-172 b,29857954,1,9.47721,3
TOI-270 d,259377017,4,11.38014,8
TOI-421 c,94986319,2,16.06819,3
TOI-451 b,257605131,3,1.858703,36
TOI-451 c,257605131,3,9.192522,8
TOI-700 c,150428135,15,16.051998,21
TOI-700 d,150428135,15,37.42475,9
TOI-813 b,55525572,14,83.8911,4
TOI-905 b,261867566,1,3.739494,6
TOI-954 b,44792534,1,3.6849729,6
TOI-1130 b,254113311,1,4.066499,6
TOI-1266 b,467179528,4,10.894843,9
TOI-1266 c,467179528,4,18.80151,5
TOI-1728 b,285048486,1,3.49151,7
TrES-1 b,120757718,1,3.030065,8
TrES-2 b,399860444,1,2.47063,9
TrES-4 b,159742538,2,3.553945,13
WASP-3 b,27848472,1,1.846834,12
WASP-5 b,184240683,2,1.6284279,27
WASP-16 b,46096489,1,3.1186009,8
WASP-17 b,66818296,1,3.735433,6
WASP-19 b,35516889,1,0.78884,28
WASP-20 b,211438925,2,4.8996285,9
WASP-23 b,170102285,1,2.9444256,8
WASP-29 b,183537452,2,3.922727,12
WASP-36 b,13349647,1,1.5373653,15
WASP-41 b,398943781,1,3.052404,8
WASP-45 b,120610833,2,3.1260876,15
WASP-48 b,284475976,2,2.143634,21
WASP-53 b,268766053,2,3.3098443,14
WASP-54 b,61098812,1,3.6936411,6
WASP-55 b,294301883,1,4.465633,5
WASP-58 b,424435940,2,5.01718,9
WASP-61 b,13021029,1,3.8559,6
WASP-62 b,149603524,17,4.411953,85
WASP-64 b,52640302,2,1.5732918,28
WASP-66 b,53735810,1,4.086052,6
WASP-71 b,422655579,1,2.9036747,8
WASP-72 b,122612091,4,2.216726,40
WASP-73 b,231670397,2,4.08722,11
WASP-78 b,139528693,2,2.17517656,21
WASP-79 b,170634116,3,3.6623817,18
WASP-83 b,286865921,1,4.971252,5
WASP-87 b,15445551,2,1.682795,27
WASP-88 b,100566492,1,4.954,5
WASP-91 b,238176110,3,2.798581,24
WASP-92 b,162689341,3,2.1746742,31
WASP-93 b,240681314,1,2.7325321,9
WASP-97 b,230982885,2,2.07276,22
WASP-98 b,166833457,2,2.96264,15
WASP-99 b,166836920,3,5.75251,12
WASP-100 b,38846515,18,2.849375,139
WASP-105 b,158623531,3,7.87288,9
WASP-106 b,53189332,1,9.289715,3
WASP-113 b,310003988,2,4.54216874538,10
WASP-117 b,166739520,4,10.02165,9
WASP-119 b,388104525,11,2.49979,97
WASP-120 b,152476657,4,3.6112706,25
WASP-121 b,22529346,1,1.2749255,18
WASP-123 b,31858843,2,2.977641,15
WASP-126 b,25155310,18,3.2888,120
WASP-129 b,61538902,1,5.748145,4
WASP-130 b,243200602,1,11.55098,2
WASP-131 b,271168962,1,5.322023,5
WASP-132 b,127530399,1,7.133521,4
WASP-135 b,308172249,1,1.4013794,16
WASP-138 b,35857242,2,3.634433,13
WASP-139 b,159951311,4,5.924262,15
WASP-140 b,178284730,3,2.2359835,30
WASP-141 b,117979897,1,3.310651,7
WASP-142 b,423275733,1,2.052868,11
