Exoplanet,TIC ID,Products,Period,Epochs
WASP-41 b,398943781,1,3.052404,8
WASP-42 b,248075138,1,4.9816877,5
WASP-43 b,36734222,1,0.813475,27
WASP-44 b,12862099,1,2.4238039,10
WASP-45 b,120610833,2,3.1260876,15
WASP-46 b,231663901,2,1.43037,31
WASP-48 b,284475976,2,2.143634,21
WASP-50 b,382391899,2,1.9550959,23
WASP-54 b,61098812,1,3.6936411,6
WASP-55 b,294301883,1,4.465633,5
WASP-56 b,347329162,1,4.617101,5
WASP-58 b,424435940,2,5.01718,9
WASP-61 b,13021029,1,3.8559,6
WASP-62 b,149603524,17,4.411953,85
WASP-63 b,393414358,2,4.37808,11
WASP-64 b,52640302,2,1.5732918,28
WASP-66 b,53735810,1,4.086052,6
WASP-71 b,422655579,1,2.9036747,8
WASP-72 b,122612091,4,2.216726,40
WASP-73 b,231670397,2,4.08722,11
WASP-76 b,293435336,1,1.809886,13
WASP-77 A b,1129033,2,1.3600309,33
WASP-78 b,139528693,2,2.17517656,21
WASP-79 b,170634116,3,3.6623817,18
WASP-82 b,452808876,1,2.705785,9
WASP-83 b,286865921,1,4.971252,5
WASP-88 b,100566492,1,4.954,5
WASP-91 b,238176110,3,2.798581,24
WASP-92 b,162689341,3,2.1746742,31
WASP-93 b,240681314,1,2.7325321,9
WASP-105 b,158623531,3,7.87288,9
WASP-106 b,53189332,1,9.289715,3
WASP-113 b,310003988,2,4.54216874538,10
WASP-117 b,166739520,4,10.02165,9
WASP-119 b,388104525,11,2.49979,97
WASP-120 b,152476657,4,3.6112706,25
WASP-121 b,22529346,1,1.2749255,18
WASP-123 b,31858843,2,2.9776412,15
WASP-124 b,97409519,1,3.37265,7
WASP-126 b,25155310,18,3.2888,120
WASP-127 b,169226822,1,4.178062,6
WASP-129 b,61538902,1,5.748145,4
WASP-130 b,243200602,1,11.55098,2
WASP-131 b,271168962,1,5.322023,5
WASP-132 b,127530399,1,7.133521,4
WASP-135 b,308172249,1,1.4013794,16
WASP-136 b,176220787,1,5.215357,5
WASP-138 b,35857242,2,3.634433,13
WASP-139 b,159951311,4,5.924262,15
WASP-140 b,178284730,3,2.2359835,30
WASP-141 b,117979897,1,3.310651,7
WASP-142 b,423275733,1,2.052868,11
WASP-153 b,157586003,1,3.332609,7
WASP-156 b,270380593,2,3.836169,12
WASP-167 b,104024556,1,2.0219596,11
XO-1 b,236312126,1,3.941534,6
XO-3 b,8400842,1,3.1915426,7
XO-6 b,138168780,3,3.7650007,18
