Exoplanet,TIC ID,Products,Period,Epochs
Kepler-538 b,28227113,2,81.73778,1
Kepler-1517 b,158555987,1,5.54608367,4
Kepler-1647 b,170344769,2,1107.5923,1
Kepler-1661 b,164886585,2,175.06,1
L 98-59 c,307210830,9,3.6904,54
L 168-9 b,234994474,2,1.4015,32
LHS 1140 b,92226327,2,24.73712,2
LHS 1140 c,92226327,2,3.777931,12
LHS 1815 b,260004324,17,3.81433,98
LHS 3844 b,410153553,3,0.46292792,143
LP 791-18 b,181804752,1,0.948005,24
LTT 3780 c,36724087,1,12.252048,2
Lupus-TR-3 b,153091721,1,3.91405,6
NGTS-6 b,1528696,1,0.882058,25
NGTS-11 b,54002556,1,35.455285,1
OGLE2-TR-L9 b,466840711,2,2.4855335,18
OGLE-TR-111 b,465390152,2,4.0144463,11
OGLE-TR-132 b,465144510,2,1.689868,26
OGLE-TR-182 b,466884459,2,3.9791,12
OGLE-TR-211 b,390001646,2,3.67724,12
Qatar-1 b,236887394,4,1.4200242,62
Qatar-5 b,190998418,1,2.8792319,8
TOI-125 b,52368076,3,4.65382,15
TOI-125 c,52368076,3,9.15059,8
TOI-125 d,52368076,3,19.98,4
TOI-150.01,271893367,10,5.857487,38
TOI-157 b,140691463,9,2.0845435,95
TOI-163 b,179317684,10,4.231306,52
TOI-169 b,183120439,3,2.2554477,30
TOI-216.01,55652896,17,34.556,11
TOI-216.02,55652896,17,17.089,22
TOI-251 b,224225541,2,4.93777,9
TOI-270 b,259377017,4,3.36008,27
TOI-451 d,257605131,3,16.364988,5
TOI-481 b,339672028,7,10.33111,15
TOI-540 b,200322593,4,1.2391491,71
TOI-561 d,377064495,1,25.62,1
TOI-561 e,377064495,1,77.23,1
TOI-564 b,1003831,1,1.651144,14
TOI-677 b,280206394,2,11.2366,4
TOI-700 b,150428135,15,9.97701,33
TOI-700 c,150428135,15,16.05111,21
TOI-776 b,306996324,1,8.24661,3
TOI-776 c,306996324,1,15.6653,2
TOI-824 b,193641523,2,1.392978,32
TOI-954 b,44792534,1,3.6849729,6
TOI-1235 b,103633434,3,3.444729,20
TOI-1266 b,467179528,4,10.894843,9
TOI-1338 b,260128333,14,95.174,4
TOI-1728 b,285048486,1,3.49151,7
TOI-1899 b,172370679,2,29.02,2
TrES-3 b,116264089,2,1.30618608,34
TrES-4 b,159742538,2,3.5539268,13
WASP-4 b,402026209,3,1.33823147,50
WASP-6 b,204376737,2,3.361006,14
WASP-7 b,389352124,1,4.954658,5
WASP-12 b,86396382,1,1.09142,21
WASP-13 b,8767448,1,4.35301,6
WASP-15 b,111991770,1,3.7520656,6
WASP-16 b,46096489,1,3.1186009,8
WASP-17 b,66818296,1,3.735438,6
WASP-19 b,35516889,1,0.78884,28
WASP-20 b,211438925,2,4.8996284,9
WASP-23 b,170102285,1,2.9444256,8
WASP-25 b,229047362,1,3.764825,6
WASP-26 b,32487566,1,2.7566004,8
WASP-29 b,183537452,2,3.922727,12
WASP-31 b,437248515,1,3.405909,7
WASP-33 b,129979528,1,1.21986983,18
WASP-35 b,43647325,1,3.161575,7
WASP-43 b,36734222,1,0.813475,27
WASP-44 b,12862099,1,2.4238039,10
WASP-45 b,120610833,2,3.126089,15
WASP-48 b,284475976,2,2.143634,21
WASP-49 b,306362738,1,2.7817387,8
WASP-50 b,382391899,2,1.9551,23
WASP-66 b,53735810,1,4.086052,6
WASP-73 b,231670397,2,4.08722,11
WASP-76 b,293435336,1,1.809886,13
WASP-83 b,286865921,1,4.071252,6
WASP-88 b,100566492,1,4.954,5
WASP-91 b,238176110,3,2.798581,24
WASP-95 b,144065872,2,2.184673,21
WASP-96 b,160148385,2,3.4252602,13
WASP-105 b,158623531,3,7.87288,9
WASP-106 b,53189332,1,9.289715,3
WASP-119 b,388104525,11,2.49979,97
WASP-120 b,152476657,4,3.6112706,25
WASP-124 b,97409519,1,3.37265,7
WASP-126 b,25155310,18,3.2888,120
WASP-127 b,169226822,1,4.178062,6
WASP-129 b,61538902,1,5.748145,4
WASP-132 b,127530399,1,7.133521,4
WASP-135 b,308172249,1,1.4013794,16
WASP-136 b,176220787,1,5.215357,5
WASP-139 b,159951311,4,5.924262,15
WASP-141 b,117979897,1,3.310651,7
WASP-142 b,423275733,1,2.052868,11
WASP-144 b,207077681,1,2.2783152,10
WASP-145 A b,381856447,1,1.7690381,13
WASP-150 b,321668398,3,5.644207,12
WASP-153 b,157586003,1,3.332609,7
WASP-156 b,270380593,2,3.836169,12
WASP-159 b,77156657,1,3.840401,6
WASP-166 b,408310006,1,5.44354,5
WASP-167 b,104024556,1,2.0219596,11
WASP-173 A b,77031414,2,1.38665318,32
WASP-182 b,369455629,1,3.3769848,7
XO-2 N b,356473034,1,2.61586178,9
XO-7 b,268403451,2,2.8641424,16
pi Men c,261136679,9,6.26784,32
