TIC ID,Products,Exoplanet
25117645,15,
25195623,15,
30716342,15,
30760081,15,
31268146,15,
31273263,15,
31313963,15,
31414018,15,
31529985,15,
32050414,15,
32052179,15,
32068500,15,
32071753,15,
32089522,15,
32091784,15,
33714875,15,
33718168,15,
33766212,15,
33833289,15,
33834564,15,
33864178,15,
33879052,15,
38423929,15,
38458938,15,
38468130,15,
38470115,15,
38507951,15,
38507963,15,
38515255,15,
38633462,15,
38695861,15,
38696111,15,
38711614,15,
38877461,15,
38877496,15,
38909586,15,
38940036,15,
40278737,15,
40340867,15,
40717334,15,
40717592,15,
40806371,15,
41034345,15,
41227743,15,
41256240,15,
41359534,15,
41364284,15,
41463262,15,
41464373,15,
41464526,15,
41483281,15,
41532261,15,
55270025,15,
55367591,15,
55525572,15,TOI-813 b
55525781,15,
55555122,15,
55603501,15,
139369107,15,
140598179,15,
140757571,15,
140826438,15,
140858140,15,
141120940,15,
141128773,15,
141278888,15,
141423416,15,
141435816,15,
141621158,15,
141680055,15,
141756071,15,
141807839,15,
141913487,15,
141979696,15,
149159039,15,
149180088,15,
149248196,15,
149248932,15,
149389419,15,
149472907,15,
149475559,15,
149502001,15,
149539114,15,
149542947,15,
149575726,15,
149600846,15,
149602308,15,
149628795,15,
149631289,15,
149664423,15,
150065244,15,
150098291,15,
150100106,15,
150100627,15,
150101472,15,
150101501,15,
150101616,15,
150102227,15,
150105350,15,
150105372,15,
150143137,15,
150250788,15,
150271420,15,
150320456,15,
150320620,15,
150320712,15,
150357290,15,
150357404,15,
150357424,15,
150357613,15,
150391118,15,
150393623,15,
150428135,15,TOI-700 b
150428703,15,
150432079,15,
150437899,15,
150439289,15,
150440755,15,
150442497,15,
150513194,15,
150513591,15,
167043194,15,
167086013,15,
167087044,15,
167119957,15,
167120830,15,
167170023,15,
167304735,15,
167338863,15,
167419169,15,
167524278,15,
167524563,15,
167571315,15,
167604225,15,
167651305,15,
167694800,15,
167695269,15,
167721378,15,
167722216,15,
167722708,15,
167811187,15,
167811761,15,
167815117,15,
176935006,15,
176956040,15,
177016680,15,
177077475,15,
177079697,15,
177080157,15,
179040880,15,
179234597,15,
179438938,15,
220407530,15,
220408612,15,HD 30177 b
220422217,15,
220425740,15,
220435354,15,
220436741,15,
220438947,15,
220459976,15,
220473037,15,
220476607,15,
220478950,15,
220479121,15,
231094769,15,
231098685,15,
231121076,15,
237940407,15,
238227061,15,
260128333,15,TOI-1338 b
260128434,15,
260159562,15,
260161111,15,
260164371,15,
260239338,15,
260239455,15,
260242234,15,
260242697,15,
260369118,15,
260507500,15,
260967812,15,
260972404,15,
261154865,15,
261397043,15,
262609922,15,
270474668,15,
270503901,15,
271720840,15,
271892200,15,
272235713,15,
272356014,15,
277026183,15,
277101175,15,
277103955,15,
277301964,15,
278777880,15,
278822707,15,
278825715,15,
278865766,15,
278899969,15,
279477819,15,
279572957,15,
287401176,15,
287407926,15,
293165020,15,
293269165,15,
293347978,15,
293975288,15,
294780517,15,
294981566,15,
299833107,15,
299833889,15,
299833944,15,
300039874,15,
300445381,15,
306574570,15,
306631838,15,
306670604,15,
306735869,15,
306736346,15,
306736492,15,
306775886,15,
306896251,15,
306896831,15,
308398795,15,
308452910,15,
308453663,15,
309616139,15,
309658984,15,
309702890,15,
309754992,15,
339862599,15,
339891888,15,
349152140,15,
349311905,15,
350091456,15,
350341830,15,
350341850,15,
350342601,15,
350443648,15,
350477148,15,
350477495,15,
350520348,15,
350563801,15,
350564120,15,
350622888,15,
350654712,15,
350657595,15,
350712873,15,
350930008,15,
350954417,15,
358459324,15,
364322720,15,
364323133,15,
364323767,15,
364423809,15,
364537524,15,
370038958,15,
372816349,15,
372851851,15,
372908110,15,
372909708,15,
373431205,15,
373432787,15,
373524217,15,
373843852,15,
373843860,15,
373919576,15,
374860864,15,
375056762,15,
375059949,15,
381925443,15,
381949410,15,
381975024,15,
381978657,15,
382189542,15,
382199661,15,
382624902,15,
388183244,15,
389433788,15,
389749856,15,
389750989,15,
391813522,15,
391813813,15,
391892132,15,
392009873,15,
404854454,15,
404927661,15,
407621305,15,
425068672,15,
425068761,15,
425081475,15,
471013553,15,
