TIC ID,Products,Exoplanet
21032363,8,
21100540,8,
21100558,8,
21161995,8,
21189968,8,
21190018,8,
21228288,8,
25154154,8,
25195864,8,
30471003,8,
31268024,8,
31385803,8,
31509423,8,
31528507,8,
31528728,8,
31528780,8,
31529973,8,
31674330,8,
31703593,8,
31704728,8,
31704987,8,
31742622,8,
31779227,8,
31780245,8,
31781190,8,
31782711,8,
31796824,8,
31797806,8,
31798594,8,
31814318,8,
31853965,8,
31867144,8,
31946204,8,
31960232,8,
31963373,8,
31963429,8,
31997651,8,
31997826,8,
32000625,8,
32034222,8,
32034265,8,
32049399,8,
32052313,8,
32052897,8,
32053473,8,
32070010,8,
33715209,8,
33717073,8,
33717119,8,
33717547,8,
33732330,8,
33734517,8,
33735326,8,
33735626,8,
38397263,8,
38424008,8,
38459103,8,
38461268,8,
38511061,8,
38519034,8,
38584652,8,
38696807,8,
38698669,8,
38764156,8,
38811269,8,
38815181,8,
38844392,8,
41034828,8,
41088619,8,
41254308,8,
41333410,8,
41362000,8,
41460940,8,
41463811,8,
41526881,8,
41529189,8,
41530109,8,
41590715,8,
55272262,8,
55293484,8,
55605752,8,
55650407,8,
55651773,8,
55784451,8,
140511069,8,
140598758,8,
140830390,8,
140998745,8,
141122468,8,
141268690,8,
141333591,8,
141422096,8,
141480394,8,
141544281,8,
141546481,8,
141610486,8,
141681645,8,
141682589,8,
141713189,8,
141755600,8,
141769983,8,
141770592,8,
141771908,8,
141810529,8,
141910178,8,
141910298,8,
141943723,8,
141975903,8,
142017587,8,
142054024,8,
142105728,8,
149107389,8,
149120706,8,
149175911,8,
149176080,8,
149179226,8,
149252961,8,
149306769,8,
149351679,8,
149392574,8,
149392671,8,
149423152,8,
149423222,8,
149444545,8,
149478361,8,
149499292,8,
149541777,8,
149541841,8,
149625580,8,
149902658,8,
149934554,8,
149973879,8,
150032786,8,
150032983,8,
150067087,8,
150101564,8,
150106601,8,
150107221,8,
150108711,8,
150245403,8,
150269856,8,
150271780,8,
150298326,8,
150391997,8,
150394536,8,
150395009,8,
159346212,8,
159397934,8,
159418499,8,
159420138,8,
159436982,8,
159438523,8,
159452656,8,
159455497,8,
159455588,8,
159455724,8,
159464349,8,
159464570,8,
159465986,8,
159466026,8,
159502654,8,
159511175,8,
159511706,8,
160393513,8,
160395571,8,
160395680,8,
160396180,8,
160408950,8,
160409246,8,
160409532,8,
160410434,8,
160418603,8,
160419797,8,
160419861,8,
160420463,8,
160421259,8,
160422712,8,
160423101,8,
160423277,8,
160423655,8,
160424753,8,
160424912,8,
160437967,8,
160438083,8,
160438146,8,
160438364,8,
160438793,8,
160438869,8,
160439150,8,
160439300,8,
160440024,8,
160471399,8,
160471611,8,
160471617,8,
160473058,8,
160473368,8,
160473764,8,
160474134,8,
160474194,8,
160474438,8,
160488880,8,
160489022,8,
160489172,8,
160489229,8,
160489437,8,
160489507,8,
160489521,8,
160489724,8,
160489838,8,
160491815,8,
160492444,8,
160492565,8,
160492937,8,
160494531,8,
160518870,8,
160519056,8,
160519380,8,
160521427,8,
160521779,8,
160536102,8,
160536135,8,
160536227,8,
160552560,8,
165498393,8,
167043669,8,
167046341,8,
167084349,8,
167084404,8,
167126105,8,
167168646,8,
167169968,8,
167247123,8,
167303162,8,
167338893,8,
167364585,8,
167365380,8,
167571928,8,
167601581,8,
167654890,8,
167719120,8,
167792267,8,
167808464,8,
167812449,8,
176935657,8,
177163070,8,
177237434,8,
177258863,8,
177285012,8,
177308612,8,
177349718,8,
177350828,8,
177386957,8,
179119903,8,
179241385,8,
188829441,8,
188829610,8,
188833961,8,
188836205,8,
198035628,8,
198036035,8,
198074117,8,
198074185,8,
198076680,8,
198160009,8,
198162960,8,
198181797,8,
198187775,8,
198187914,8,
198207255,8,
198281325,8,
198311620,8,
198314134,8,
198314182,8,
198316465,8,
198355046,8,
198355953,8,
198359964,8,
198385916,8,
198389775,8,
198480110,8,
198480503,8,
