Exoplanet,TIC ID,Period,Semi-Major Axis,Radius (J),Mass (E),Mass (J),Eccentricity,TTV Flag,Temperature (Star),Radius (Star),Mass (Star),Metallicity (Star),Logg (Star),Transit Mid Point,Transit Duration,Temperature Error (Star),Radius Error (Star),Metallicity Error (Star),Logg Error,Inclination,Periastron,Right Ascension,Declination,Galactic Lattitude,Galactic Longitude,Distance (pc),Parallax (mas),TESS Magnitude,Period Error,Transit Mid Point Error,Semi Major Axis Error,Planet Radius Error (J),Inclination Error,Periastron Error,Eccentricity Error,Archive,Transits,Date,Unbinned Sigma,Binned Sigma,Transit Depth,Sensitivity,Binned Sensitivity,Archive Used,Observation Depth,Observation Sensitivity,Binned Observation Sensitivity,Total Cadences
KOI 5289.01,,181.81214,,0.1819969227332415,,,0.0,,6060.0,0.925,1.008,-0.22,4.509,14977.6702,,154.0,0.375,0.26,0.04,89.95,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 5290.01,,435.50635,,0.1837812062894497,,,0.0,,5750.0,0.882,0.98,-0.04,4.538,15100.6857,,161.0,0.308,0.24,0.027,89.95,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 5291.01,,525.560452,,1.136588625304655,,,0.0,,4954.0,3.796,1.343,0.04,3.408,15273.33369,,110.0,2.046,0.2,0.229,89.95,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 5297.01,,8.0906952,,0.07137134224833,,,0.0,,5374.0,0.902,0.928,0.22,4.495,14969.7844,,75.0,0.094,0.15,0.049,89.63,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 5300.01,,188.954072,,0.2194668774136147,,,0.0,,6392.0,1.899,1.219,-0.2,3.967,14993.7576,,155.0,0.41,0.25,0.266,89.99,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 5308.01,,9.942228056,,1.9760940385006367,,,0.0,,5268.0,0.843,0.775,-0.14,4.475,14966.8474942,,158.0,0.137,0.3,0.108,87.9,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 5310.01,,22.2903562,,0.1008120209257661,,,0.0,,5597.0,1.0,0.956,0.14,4.418,14985.37929,,75.0,0.141,0.15,0.085,89.99,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 5320.01,,357.437578,,0.2792403765465911,,,0.0,,7610.0,1.862,1.693,0.07,4.127,15028.2194,,231.0,1.24,0.19,0.079,89.95,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 5321.01,,215.634356,,0.1712912213959919,,,0.0,,6163.0,1.568,1.03,-0.32,4.06,15063.7211,,219.0,0.388,0.3,0.35,90.0,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 5322.01,,30.928898,,0.7226348402643411,,,0.0,,5029.0,5.127,1.653,0.0,3.237,14986.90647,,97.0,0.468,0.2,0.03,88.81,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 5324.01,,293.392635,,0.6102249762232215,,,0.0,,5203.0,3.055,1.051,-0.5,3.489,15174.2263,,116.0,1.748,0.24,0.182,89.95,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 5327.01,,5.43361347,,0.1864576316237621,,,0.0,,3694.0,0.566,0.567,0.56,4.686,14969.711,,117.0,0.033,0.05,0.075,89.67,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 5329.01,,200.2350497,,0.9804638141364334,,,0.0,,6108.0,0.997,1.072,-0.08,4.471,15138.44985,,189.0,0.308,0.25,0.054,89.32,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 5331.01,,31.5034587,,0.1043805880381826,,,0.0,,5269.0,0.823,0.91,0.16,4.567,14992.9712,,84.0,0.08,0.15,0.017,89.96,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 5332.01,,22.2381062,,0.0972434538133496,,,0.0,,6192.0,1.055,1.097,-0.06,4.433,14981.3792,,172.0,0.366,0.25,0.058,89.73,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 5333.01,,20.5477769,,0.1489876769433888,,,0.0,,5922.0,1.057,1.095,0.18,4.429,14982.1769,,182.0,0.338,0.2,0.07,89.95,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 5336.01,,265.741374,,0.2890539361057365,,,0.0,,6537.0,1.859,1.397,-0.02,4.044,15000.0573,,175.0,0.411,0.25,0.228,89.57,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 5337.01,,470.65357,,0.2667503916531333,,,0.0,,6039.0,0.951,1.027,-0.14,4.493,15006.647,,156.0,0.386,0.22,0.044,89.95,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 5341.01,,15.18575582,,0.2016240418515322,,,0.0,,6311.0,1.339,1.05,-0.28,4.207,14977.63985,,150.0,0.394,0.25,0.214,89.84,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 5344.01,,445.351255,,0.3265238907861097,,,0.0,,7202.0,1.755,1.454,-0.18,4.112,15391.63755,,217.0,1.025,0.25,0.137,89.95,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 5352.01,,270.1430241,,,,,,,,,,,,15043.960799,,,,,,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 5358.01,,126.586058,,0.1373898338280352,,,0.0,,6611.0,1.249,1.057,-0.5,4.269,15055.9909,,161.0,0.522,0.24,0.136,89.38,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 5359.01,,2.7200197,,0.1364976920499311,,,0.0,,3939.0,0.527,0.55,-0.2,4.735,14966.3342,,52.0,0.05,0.1,0.06,89.95,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 5360.01,,54.595746,,0.1784283556208249,,,0.0,,6014.0,1.699,1.027,-0.3,3.989,14989.83764,,177.0,0.756,0.32,0.341,89.95,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 5365.01,,585.64118,,0.1962711911829075,,,0.0,,5779.0,0.901,0.993,-0.02,4.526,15081.4981,,161.0,0.375,0.23,0.031,89.95,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 5367.01,,502.98283916,,,,,,,,,,,,15116.5049194,,,,,,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 5369.01,,651.358046,,1.3007427124758142,,,0.0,,5122.0,6.261,2.123,0.1,3.172,15046.18162,,96.0,0.394,0.2,0.032,89.95,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 5371.01,,33.3037881,,0.1017041627038702,,,0.0,,4899.0,0.713,0.818,0.07,4.624,14982.4642,,174.0,0.091,0.3,0.023,89.95,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 5372.01,,212.60398,,0.1463112516090765,,,0.0,,5834.0,1.207,1.022,0.08,4.284,15046.4113,,162.0,0.521,0.22,0.157,89.95,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 5373.01,,50.550788,,0.4460708890520625,,,0.0,,5031.0,3.859,1.47,0.04,3.433,14964.5846,,106.0,1.892,0.18,0.235,89.95,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
