Exoplanet,TIC ID,Period,Semi-Major Axis,Radius (J),Mass (E),Mass (J),Eccentricity,TTV Flag,Temperature (Star),Radius (Star),Mass (Star),Metallicity (Star),Logg (Star),Transit Mid Point,Transit Duration,Temperature Error (Star),Radius Error (Star),Metallicity Error (Star),Logg Error,Inclination,Periastron,Right Ascension,Declination,Galactic Lattitude,Galactic Longitude,Distance (pc),Parallax (mas),TESS Magnitude,Period Error,Transit Mid Point Error,Semi Major Axis Error,Planet Radius Error (J),Inclination Error,Periastron Error,Eccentricity Error,Archive,Transits,Date,Unbinned Sigma,Binned Sigma,Transit Depth,Sensitivity,Binned Sensitivity,Archive Used,Observation Depth,Observation Sensitivity,Binned Observation Sensitivity,Total Cadences
1I/'Oumuamua,,,,2e-06,,,1.196,,,1.0,1.0,,,,,,,,,,241.5,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
1RXS1609 b,,,,1.7,,,,,4060.0,1.35,0.85,,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
1RXS 1609 b,,,330.0,1.7,,,,,4060.0,1.35,0.73,,,,,200.0,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
1RXS J160929.1-210524 b,TIC 48964101,,330.0,1.664,3000.0,8.0,,0,4060.0,1.31,0.85,,4.0,,,300.0,0.18,,0.14,,,242.3762343,-21.0831403,22.03031,352.8905,139.135,7.15949,11.1941,,,,,,,,NASA,,,,,,,,,,,,
1RXS J235133.3+312720 b,,,120.0,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
1SWASP J1407 b,,10044.0,,,,,0.8,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
1SWASP J1407 b,,3725.0,3.9,,,,,,4400.0,0.99,0.9,,,,,100.0,0.11,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2I/Borisov,,,,6.2e-05,,,3.155,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2M0045+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2M0117-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2M1059-21 b,,690.0,0.8,,,,0.146,,,,0.81,,,,,,,,,32.9,256.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2M1207 A,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2M1207 b,,,,,,,,,2550.0,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
2M1207 b,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2M1510A a,,20.902,0.063,1.57,,,0.31,,,,,,,,,,,,,88.5,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2M1510A b,,20.902,0.063,1.57,,,0.31,,,,,,,,,,,,,88.5,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2M 0103-55 (AB) b,,,84.0,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2M 0122-24 b,,,52.0,1.0,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2M 0219-39 b,,,156.0,1.44,,,,,3064.0,0.27,0.11,,,,,76.0,0.01,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2M 0441+23 b,,,15.0,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2M 0746+20 b,,4640.0,2.897,0.97,,,0.487,,2205.0,0.089,0.12,,,,,,,,,138.2,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
2M 1938+46 b,,416.0,0.92,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2M 1938+4603 b,,416.0,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
2M 2140+16 b,,7340.0,3.53,0.92,,,0.26,,2300.0,0.1,0.08,,,,,80.0,0.043,,,46.2,223.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2M 2140+16 b,,7340.0,3.53,0.92,,,0.26,,2300.0,0.1,0.08,,,,,,,,,46.2,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
2M 2206-20 b,,8686.0,4.48,1.3,,,0.0,,2350.0,0.11,0.13,,,,,80.0,0.015,,,44.3,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2M 2206-20 b,,8686.0,4.48,1.3,,,0.0,,2350.0,0.11,0.13,,,,,,,,,44.3,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
2M 2236+4751 b,,,230.0,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2M 044144 b,,,,,,,,,2100.0,,0.018,,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
2M J2126-81 b,,,6900.0,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2MASS 0122-2439 B,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
2MASS 0359+2009 b,,,540.0,,,,,,2900.0,,0.06,,,,,50.0,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2MASS J0219-3925 B,,,,1.44,,,,,3064.0,0.281,0.108,,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
2MASS J0249-0557 (AB) c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2MASS J0249-0557A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2MASS J0249-0557B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2MASS J0348-6022,,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2MASS J0407+1546,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2MASS J1155-7919 b,,,582.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2MASS J1219+3128,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2MASS J1450-7841 A,,,300.0,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2MASS J1450-7841 B,,,300.0,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2MASS J2250+2325 b,,,518.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2MASS J00413538-5621127 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2MASS J00413538-5621127 B,,126.0,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2MASS J01033563-5515561 A b,,,84.0,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
2MASS J01033563-5515561 AB b,TIC 206502540,,84.0,1.1,4131.79,13.0,,0,,,0.19,,,,,,,,,,,15.8992489,-55.2658291,-61.77586,299.26888,47.2,,12.089,,,,,,,,NASA,,,,,,,,,,,,
2MASS J01225093-2439505 b,TIC 11614485,,52.0,1.0,7786.5,24.5,,0,3530.0,0.37,0.4,,4.86,,,50.0,0.01,,0.0,,,20.7128012,-24.6646128,-82.5199,195.45385,33.8281,29.5326,11.6243,,,6.0,,,,,NASA,,,,,,,,,,,,
2MASS J02192210-3925225 b,TIC 77111651,,156.0,1.44,4417.837,13.9,,0,3064.0,0.28,0.11,,4.59,,,76.0,0.01,,0.06,,,34.8427046,-39.4230767,-67.98402,252.45343,40.0896412,24.9440995,13.4304,,,10.0,0.03,,,,NASA,,,,,,,,,,,,
2MASS J02495639-0557352 c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
2MASS J04414489+2301513 b,TIC 118893899,,15.0,1.13,2383.6,7.5,,0,2936.0,0.23,0.02,,5.01,,,182.0,0.01,,0.0,,,70.4371079,23.0308544,-15.11435,176.51065,120.423987,8.3039935,17.1815,,,,,,,,NASA,,,,,,,,,,,,
2MASS J10475385+2124234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2MASS J11011926-7732383 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2MASS J11011926-7732383 B,,,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2MASS J11193254 AB,,32850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2MASS J12073346-3932539 b,TIC 102076870,,55.0,1.15,1589.15,5.0,,0,2825.0,0.22,0.02,,5.03,,,157.0,0.01,,0.02,,,181.8890906,-39.5484399,22.54309,293.79011,64.308,15.5242,15.662,,,,,,,,NASA,,,,,,,,,,,,
2MASS J15344984-2952274 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2MASS J15344984-2952274 B,,5550.0,2.3,,,,0.24,,,,,,,,,,,,,84.3,178.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2MASS J19383260+4603591 b,TIC 271164763,416.0,0.92,1.2,603.877,1.9,,0,10868.0,0.34,0.48,-0.092,3.91,,,380.0,0.03,,,,,294.6359173,46.0664076,11.67426,79.01876,396.332,2.49522,12.4561,2.0,,0.02,,,,,NASA,,,,,,,,,,,,
2MASS J21265040-8140293,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
2MASS J21402931+1625183 A b,TIC 301728657,7336.5,,0.92,6657.48,20.95,0.26,0,2300.0,0.12,0.08,,5.22,,,80.0,0.05,,0.05,46.2,223.0,325.1218214,16.4213408,-26.43736,70.48456,33.1156898,30.1971665,15.5475,1934.5,,,0.39,2.5,10.0,0.06,NASA,,,,,,,,,,,,
2MASS J22362452+4751425 b,TIC 200532605,,230.0,1.1,3972.875,12.5,,0,4045.0,0.64,0.6,,4.62,,,35.0,0.06,,0.09,,,339.1025931,47.861683,-9.10923,100.74846,69.5737,14.3444,11.1286,,,20.0,,,,,NASA,,,,,,,,,,,,
2MASS J22362452+4751425 b,,,230.0,,,,,,4045.0,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
3 Cnc b,,853.64,2.52,,,,0.04,,4319.0,39.38,2.94,0.06,,,,34.0,3.68,0.1,,,275.18,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
4 UMa b,,269.3,0.87,,,,0.432,,4415.0,18.11,1.234,-0.25,,,,,,,,,23.81,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
4 UMa b,TIC 356478817,269.3,0.87,1.13,2256.5,7.1,0.432,0,4415.0,18.11,1.23,-0.25,1.8,,,70.0,1.47,0.04,0.15,,23.81,130.0528099,64.3280504,35.95654,151.35882,73.4603,13.5901,3.5681,1.96,,0.04,,,4.42,0.024,NASA,,,,,,,,,,,,
4 UMa b,,269.29999,0.876999,,,,0.432,,4415.0,34.6101,1.234,-0.25,1.8,,,70.0,1.10752,0.04,0.15,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
4 Uma b,,269.3,0.87,,,,0.432,,4415.0,,1.234,-0.25,,,,70.0,,0.04,,,23.81,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
6 Lyn b,TIC 444865362,934.3,2.11,1.19,638.8383,2.01,0.073,0,4938.0,5.2,1.44,-0.13,3.19,,,,,0.02,,,130.0,97.6960311,58.1611753,20.18918,156.97286,54.6599,18.2668,5.0436,8.6,,0.11,,,38.0,0.036,NASA,,,,,,,,,,,,
6 Lyn b,,874.774,2.18,,,,0.059,,4978.0,5.2,1.82,-0.13,,,,,,,,2.0,314.9,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
6 Lyn b,,874.774,2.18639,,,,0.059,,4978.0,5.49553,1.82,-0.13,3.16,,,18.0,0.175876,0.02,0.05,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
6 Lyn b,,934.3,2.11,,,,0.073,,4978.0,5.2,1.7,-0.13,,,,18.0,0.3,0.02,,,130.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
7 CMA c,,988.9,2.143,,,,0.046,,4792.0,2.3,1.52,0.21,,,,100.0,0.1,0.1,,,226.6,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
7 CMa b,,735.1,1.758,,,,0.06,,4826.0,4.87,1.34,0.21,,,,,,,,90.0,165.3,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
7 CMa b,,763.0,1.80264,,,,0.14,,4761.0,2.3,1.34,0.21,3.11,,,79.0,0.1,0.05,0.22,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
7 CMa b,TIC 48237215,735.1,1.758,1.2,587.9855,1.85,0.06,0,4826.0,4.87,1.34,0.21,3.19,,,45.0,0.17,0.1,0.06,90.0,165.3,99.171276,-19.2561808,-11.79597,228.68876,19.8101,50.4571,3.0677,14.8,,0.024,,,5.1,0.03,NASA,,,,,,,,,,,,
7 CMa b,,736.9,1.761,,,,0.055,,4792.0,2.3,1.52,0.21,,,,100.0,0.1,0.1,,,116.4,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
7 CMa c,,996.0,2.153,,,,0.08,,4826.0,4.87,1.34,0.21,,,,,,,,90.0,233.5,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
7 CMa c,TIC 48237215,996.0,2.153,1.24,276.5121,0.87,0.08,0,4826.0,4.87,1.34,0.21,3.19,,,45.0,0.17,0.1,0.06,90.0,233.5,99.171276,-19.2561808,-11.79597,228.68876,19.8101,50.4571,3.0677,1.5,,0.003,,,7.7,0.05,NASA,,,,,,,,,,,,
8 UMi b,,93.4,0.490206,,,,0.06,,4847.4,9.9,1.8,-0.03,2.57,,,7.5,0.4,0.02,0.03,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
8 UMi b,TIC 257005016,93.4,0.49,1.22,416.3573,1.31,0.06,0,4847.0,10.3,1.44,-0.03,2.57,,,7.0,0.57,,0.03,,91.0,224.201685,74.9009379,39.66099,112.79492,162.552,6.12304,5.96761,4.5,,0.02,,,84.6,0.09,NASA,,,,,,,,,,,,
8 Umi b,,93.4,0.49,,,,0.06,,4847.4,9.9,1.8,-0.03,,,,7.5,0.4,0.02,,,91.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
8 Ursae Minoris b,,93.4,0.49,,,,0.06,,4847.4,9.9,1.8,-0.03,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
11 Com b,,326.03,1.29,,,,0.231,,4742.0,19.0,2.7,-0.35,,,,100.0,2.0,0.09,,,94.8,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
11 Com b,,326.03,1.29,,,,0.231,,4742.0,19.0,2.7,-0.35,,,,,,,,,94.8,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
11 Com b,,326.03,1.17872,,,,0.231,,4830.0,12.0698,2.04,-0.34,2.61,,,79.0,0.386245,0.06,0.13,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
11 Com b,TIC 72437047,326.03,1.29,1.08,6165.6,19.4,0.231,0,4742.0,19.0,2.7,-0.35,2.31,,,100.0,2.0,0.09,0.1,,94.8,185.1787793,17.7932516,78.28058,264.13775,93.1846,10.7104,3.8379,0.32,,0.05,,,1.5,0.005,NASA,,,,,,,,,,,,
11 Oph b,,730000.0,243.0,,,,,,2375.0,,0.0162,,,,,175.0,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
11 UMi b,,516.22,1.53498,,,,0.08,,4340.0,44.65,1.8,0.04,1.6,,,70.0,1.4288,0.04,0.15,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
11 UMi b,TIC 230061010,516.21997,1.53,1.09,4684.8142,14.74,0.08,0,4213.0,29.79,2.78,-0.02,1.93,,,46.0,2.84,,0.07,,117.63,229.2745954,71.8239428,41.04437,108.719,125.321,7.95388,3.82294,3.2,,0.07,,,21.06,0.03,NASA,,,,,,,,,,,,
11 UMi b,,516.22,1.54,,,,0.08,,4340.0,24.08,1.8,0.04,,,,70.0,1.84,0.04,,,117.63,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
11 UMi b,,516.22,1.54,,,,0.08,,4340.0,24.08,1.8,0.04,,,,,,,,,117.63,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
14 And b,TIC 333225860,185.84,0.83,1.15,1525.5,4.8,0.0,0,4813.0,11.0,2.2,-0.24,2.63,,,20.0,1.0,0.03,0.07,,0.0,352.82415,39.2358367,-21.05141,106.41269,75.4392,13.2289,4.3214,0.23,,,,,,,NASA,,,,,,,,,,,,
14 And b,,185.84,0.83,,,,0.0,,4813.0,11.0,2.2,-0.24,,,,,,,,,0.0,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
14 And b,,185.84,0.823151,,,,0.0,,4813.0,11.38,2.15,-0.24,2.63,,,20.0,0.26,0.03,0.07,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
14 And b,,185.84,0.83,,,,0.0,,4813.0,11.0,2.2,-0.24,,,,20.0,1.0,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
14 Her b,,1773.4,2.77,,,,0.369,,5311.0,0.708,0.9,0.43,,,,87.0,0.085,0.08,,,22.6,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
14 Her b,,1773.4,2.93362,,,,0.369,,5387.61,0.912364,1.066,0.459932,4.51733,,,44.0,0.0328307,0.03,0.06,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
14 Her b,TIC 219483057,1773.40002,2.93,1.15,1481.0878,4.66,0.37,0,5338.0,0.93,0.9,0.41,4.45,,,25.0,0.01,,0.02,,22.6,242.6021014,43.8163621,46.94447,69.16849,17.9323,55.7363,5.8631,2.5,,0.08,,,0.9,0.0,NASA,,,,,,,,,,,,
14 Her b,,1766.0,2.864,,,,0.359,,5311.0,0.708,1.0,0.43,,,,,,,,,22.23,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
14 Her c,,9886.0,9.037,,,,0.184,,5311.0,0.708,1.0,0.43,,,,,,,,,189.076,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
14 Her c,,6906.0,16.4,,,,0.45,,5311.0,0.708,0.9,0.43,,,,87.0,0.085,0.08,,,218.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
16 Cyg B b,,798.5,1.66027,,,,0.681,,5674.41,1.1176,0.956,0.0375072,4.35488,,,44.0,0.0380356,0.03,0.06,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
16 Cyg B b,,799.5,1.68,,,,0.689,,5766.0,0.98,1.01,0.08,,,,60.0,0.13,0.04,,,83.4,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
16 Cyg B b,TIC 27533327,798.5,1.66,1.2,565.7374,1.78,0.68,0,5750.0,1.13,1.08,0.06,4.36,,,8.0,0.01,,0.01,,83.4,295.4656422,50.5168243,13.20446,83.33558,21.1397,47.2754,5.6281,1.0,,0.03,,,2.1,0.02,NASA,,,,,,,,,,,,
16 Cygni B b,,799.5,1.72,,,,0.689,,5750.0,1.127,1.07,0.052,,,,,,,,45.0,83.4,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
17 Sco b,,578.38,1.45,,,,0.06,,4157.0,25.92,1.22,-0.01,,,,11.0,0.78,0.1,,,57.03,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
18 Del b,,993.3,2.58655,,,,0.08,,5076.0,9.0,2.33,0.0,3.08,,,38.0,0.31,0.03,0.1,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
18 Del b,,993.3,2.6,,,,0.08,,4979.0,8.5,2.3,-0.052,,,,18.0,,0.023,,,166.1,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
18 Del b,TIC 354489950,993.3,2.6,1.11,3273.5,10.3,0.08,0,4979.0,8.5,2.3,-0.052,2.82,,,18.0,,0.023,0.06,,166.1,314.6078375,10.8391378,-21.9748,58.69121,76.222,13.0922,4.7181,3.2,,,,,6.5,0.01,NASA,,,,,,,,,,,,
18 Del b,,993.3,2.6,,,,0.08,,4979.0,8.5,2.3,-0.052,,,,,,,,,166.1,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
24 Boo b,,30.3506,0.19,,,,0.042,,4893.0,10.64,0.99,-0.77,,,,15.0,0.84,0.03,,,210.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
24 Boo b,,30.3506,0.189841,,,,0.042,,4893.0,10.64,0.99,-0.77,2.42,,,15.0,0.84,0.03,0.1,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
24 Boo b,TIC 441712711,30.3506,0.19,1.24,289.2253,0.91,0.042,0,4893.0,10.64,0.99,-0.77,2.42,,,15.0,0.84,0.03,0.1,,210.0,217.1555242,49.8446488,60.6447,90.16373,95.9863,10.39,4.7812,0.0078,,0.012,,,100.0,0.048,NASA,,,,,,,,,,,,
24 Boo b,,30.3506,0.19,,,,0.042,,4893.0,10.64,0.99,-0.77,,,,,,,,,210.0,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
24 Sex b,,452.8,1.333,,,,0.09,,5098.0,4.9,1.54,-0.03,,,,,,,,,9.2,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
24 Sex b,TIC 1713457,452.8,1.333,1.19,632.46,1.99,0.09,0,5098.0,4.9,1.54,-0.03,3.5,,,44.0,0.08,0.04,0.1,,9.2,155.8684866,-0.9023998,44.7158,245.08569,72.0691,13.8488,5.6416,2.1,,0.004,,,277.9,0.14,NASA,,,,,,,,,,,,
24 Sex b,,455.2,1.4118,,,,0.184,,5069.0,3.92062,1.81,-0.01,3.4,,,62.0,0.125817,0.05,0.13,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
24 Sex b,,452.8,1.333,,,,0.09,,5098.0,4.9,1.54,-0.03,,,,44.0,0.08,0.04,,,9.2,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
24 Sex c,,910.0,2.24032,,,,0.412,,5069.0,3.92062,1.81,-0.01,3.4,,,62.0,0.125817,0.05,0.13,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
24 Sex c,,883.0,2.08,,,,0.29,,5098.0,4.9,1.54,-0.03,,,,44.0,0.08,0.04,,,220.5,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
24 Sex c,,883.0,2.08,,,,0.29,,5098.0,4.9,1.54,-0.03,,,,,,,,,220.5,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
24 Sex c,TIC 1713457,883.0,2.08,1.24,273.32,0.86,0.29,0,5098.0,4.9,1.54,-0.03,3.5,,,44.0,0.08,0.04,0.1,,220.5,155.8684866,-0.9023998,44.7158,245.08569,72.0691,13.8488,5.6416,32.4,,0.05,,,182.2,0.16,NASA,,,,,,,,,,,,
30 Ari B b,,345.4,1.01,,,,0.18,,6424.0,1.13,1.16,0.07,,,,,,,,,337.0,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
30 Ari B b,TIC 22874788,335.10001,0.99,1.1,4392.4106,13.82,0.29,0,6331.0,1.41,1.93,0.19,4.43,,,61.0,0.05,,0.05,,307.0,39.2412736,24.6480103,-32.3093,151.47681,44.657,22.3641,6.604,2.5,,0.02,,,18.0,0.09,NASA,,,,,,,,,,,,
30 Ari B b,,335.1,0.99475,,,,0.289,,6300.0,1.02283,1.16,0.15,4.5,,,150.0,0.0348452,0.15,0.05,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
30 Ari B b,,335.1,0.995,,,,0.289,,6484.0,1.23,1.22,0.12,,,,98.0,0.07,0.08,,,307.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
38 Vir b,,825.9,1.82,,,,0.03,,6557.0,1.45,1.18,0.07,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
38 Vir b,,825.9,1.82,,,,0.03,,6557.0,1.45,1.18,0.07,,2455490.2,,96.0,0.07,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
42 Dra b,,479.1,1.16693,,,,0.38,,4200.0,22.04,0.92,-0.46,1.71,,,70.0,0.48,0.05,0.05,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
42 Dra b,TIC 233721425,479.1,1.19,1.16,1233.13,3.88,0.38,0,4200.0,22.03,0.98,-0.46,1.71,,,70.0,1.0,0.05,0.05,,218.7,276.4975053,65.5633652,27.12504,95.41912,90.6545,11.0061,3.7535,6.2,,0.01,,,10.6,0.06,NASA,,,,,,,,,,,,
42 Dra b,,479.1,1.19,,,,0.38,,4200.0,22.03,0.98,-0.46,,,,,,,,,218.7,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
42 Dra b,,479.1,1.19,,,,0.38,,4200.0,22.03,0.98,-0.46,,,,70.0,1.0,0.05,,,218.7,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
44 Uma b,,785.74,2.16,,,,0.11,,4215.0,45.12,2.19,-0.21,,,,13.0,1.97,0.1,,,135.6,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
47 UMa b,,1078.0,2.1,,,,0.032,,5818.7,1.24,1.063,-0.019,,,,,,,,,334.0,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
47 UMa b,,1078.0,2.10149,,,,0.032,,5882.31,1.11869,1.063,0.0431014,4.37694,,,44.0,0.0380319,0.03,0.06,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
47 UMa b,TIC 21535479,1078.0,2.1,1.18,804.08,2.53,0.032,0,5872.0,1.21,1.06,0.04,4.3,,,92.94,0.04,0.1,0.07,,334.0,164.8647611,40.4304931,63.3677,175.78305,13.7967,72.4528,4.4698,2.0,,0.02,,,23.0,0.014,NASA,,,,,,,,,,,,
47 UMa c,,2391.0,3.6,,,,0.098,,5818.7,1.24,1.063,-0.019,,,,,,,,,295.0,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
47 UMa c,TIC 21535479,2391.0,3.6,1.27,171.621,0.54,0.098,0,5872.0,1.21,1.06,0.04,4.3,,,92.94,0.04,0.1,0.07,,295.0,164.8647611,40.4304931,63.3677,175.78305,13.7967,72.4528,4.4698,100.0,,0.1,,,114.0,0.047,NASA,,,,,,,,,,,,
47 UMa c,,2391.0,3.57197,,,,0.098,,5882.31,1.11869,1.063,0.0431014,4.37694,,,44.0,0.0380319,0.03,0.06,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
47 UMa d,TIC 21535479,14002.0,11.6,1.2,521.22,1.64,0.16,0,5872.0,1.21,1.06,0.04,4.3,,,92.94,0.04,0.1,0.07,,110.0,164.8647611,40.4304931,63.3677,175.78305,13.7967,72.4528,4.4698,4018.0,,2.1,,,132.0,0.09,NASA,,,,,,,,,,,,
47 UMa d,,14002.0,11.6,,,,0.16,,5818.7,1.24,1.063,-0.019,,,,,,,,,110.0,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
47 Uma b,,1078.0,2.1,,,,0.032,,5892.0,1.24,1.03,0.0,,,,70.0,0.04,0.07,,,334.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
