pl_name,pl_orbper,pl_orbpererr1,pl_tranmid,pl_tranmiderr1,pl_orbsmax,pl_orbsmaxerr1,pl_radj,pl_radjerr1,pl_orbincl,pl_orbinclerr1,pl_orbeccen,pl_orbeccenerr1,pl_orblper,pl_orblpererr1,Transits,Date,Archive
55 Cnc e,0.736545983680097,4.3765591166715e-07,2457063.20810572,0.0010869243648789998,0.015169250872671004,0.0007655094035820001,0.019218536914796,0.000124384530673,80.74028276210159,0.354274609110781,0.20936356817261487,0.017549214737301998,252.061399381913,9.139176559492249,34,28-Feb-2021 10:41:44,NASA
CoRoT-1 b,1.50896835389611,4.65177297240905e-07,2454159.45424653,0.001466644593437,0.026240819561675,0.001324184453297,0.14120934166015806,0.000511802972595,86.36791177316792,0.326087857729195,0.0,0.0,90.0,0.0,29,28-Feb-2021 01:43:29,NASA
CoRoT-7 b,0.853562000354268,8.637494057276141e-07,2454398.07680179,0.0014529011483499998,0.017337303529703,0.0008791647753660001,0.019310303421329,0.0010161449351729999,77.220712274501,0.165093156401495,0.0,0.0,168.219871888367,76.29251152847509,52,27-Feb-2021 02:36:12,NASA
CoRoT-12 b,2.828054021977,1.97862904235522e-06,2454398.62610753,0.002823606336002001,0.039832329387952004,0.002028810827464,0.14529591105647302,0.000501426179328,89.2204419450651,0.476968026392637,0.14095654306627,0.030554040904599,101.773368234314,37.8742213187018,15,01-Mar-2021 08:14:23,NASA
CoRoT-13 b,4.035087564451939,3.8054474337045074e-06,2454790.813063018,0.0037054236424553296,0.053300357401861634,0.002713142405072411,0.09889485524632224,0.001160920804963004,89.00826295594842,0.4207082627309541,0.0,0.0,90.0,0.0,11,02-Mar-2021 05:50:22,NASA
CoRoT-18 b,1.90009217577418,1.04387692712349e-06,2455321.72171101,0.0019862146374089997,0.03008775637315,0.001535480225655,0.14802912492332002,0.000260051482709,89.9914447792968,0.5183625690360629,0.095587087838731,0.015074128485126997,90.0,0.0,22,01-Mar-2021 01:03:48,NASA
CoRoT-21 b,2.72454095897444,2.4262917525719395e-05,2454399.02590197,0.003125233998289,0.042242854456918,0.002153730526994,0.075359114014043,0.0017437769189839998,88.5653474827125,0.828924664080565,0.0,0.0,90.0,0.0,17,01-Mar-2021 05:08:43,NASA
GJ 436 b,2.643897962496649,1.647396325842794e-06,2454510.801732604,0.002750033348345993,0.029017656926098943,0.00147457477951688,0.08367911079785195,0.00029820196525193453,86.35862797343506,0.06633941368617761,0.16981778265617806,0.024210665314632143,355.2009212584472,4.430800939227502,8,02-Mar-2021 10:51:46,NASA
GJ 1132 b,1.62892601127728,1.8350083162700001e-06,2457184.56074482,0.001545745970315,0.015252463602727,0.0007769702641030001,0.04854860969428,0.0005494260658099999,89.6602541596637,0.312592685354497,0.068149500237038,0.021830892329047002,90.0,0.0,27,28-Feb-2021 18:29:15,NASA
GJ 1252 b,0.518243889962698,5.96840518209894e-07,2458668.09594311,0.00027902778872099997,0.008930834161251998,0.000453222830292,0.027431874809880002,0.000311408336837,85.92624904217979,0.40205362656086796,0.0,0.0,90.0,0.0,98,26-Feb-2021 19:41:54,NASA
GJ 3473 b,1.19803066623174,4.3061804512244705e-05,2458492.20391911,0.0006305288717919999,0.015340409687310999,0.0007836134117270001,0.030862978018023,0.000868333521409,89.7438039741717,0.515295184795986,0.0,0.0,90.0,0.0,19,01-Mar-2021 13:24:47,NASA
HAT-P-3 b,2.8997383961335097,1.42834026043223e-06,2454856.70130122,0.0019674398782320002,0.039995585445495,0.002016921228305,0.10870067517108399,0.00029588163395599995,86.5187768625335,0.06618010527396599,0.0,0.0,153.997830248284,57.286748651655905,14,01-Mar-2021 07:49:07,NASA
